,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978956.865,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732F4E0>,,0.0,,,1527978956.865,,,,561046.125,128393.59375,25676.900390625
1527978966.887,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733E978>,,0.0,,,1527978966.887,,,,561046.125,128393.59375,25676.900390625
1527978976.879,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736CE10>,,0.0,,,1527978976.879,,,,561046.125,128393.59375,25676.900390625
1527978986.872,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47748BDA0>,,0.0,,,1527978986.872,,,,561046.125,128393.59375,25676.900390625
1527978996.903,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDBA8>,,0.0,,,1527978996.903,,,,561046.125,128393.59375,25676.900390625
1527979006.893,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B00F0>,,0.0,,,1527979006.893,,,,561046.125,128393.59375,25676.900390625
1527979016.895,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774806D8>,,0.0,,,1527979016.895,,,,561762.6875,127145.046875,25823.96875
1527979020.179,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774F2828>,,,,0.0,,,1527979020.179,,,,560842.75,127082.90625,25824.19921875
1527979026.897,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470C18>,,0.0,,,1527979026.897,,,,561059.4375,126783.4609375,25718.109375
1527979035.725,,,,,,<itemEquip.itemEquip object at 0x000001B476E49D68>,,,,,,,0.0,,,1527979035.725,,,,932243.625,638286.0625,150088.0
1527979035.7250998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CAB70>,,,,,,0.0,,,1527979035.7250998,,,,932243.625,638286.0625,150088.0
1527979035.7252,,,,,,,,,,,,,0.0,,,1527979035.7252,,,<vehicleRide.vehicleRide object at 0x000001B477C4AD30>,932243.625,638286.0625,150088.0
1527979037.428,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F0B8>,,0.0,,,1527979037.428,,,,926781.9375,635527.0625,150088.0
1527979047.411,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E5F8>,,0.0,,,1527979047.411,,,,795240.5625,569079.0625,150088.0
1527979057.41,,21.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365AC8>,,0.0,,,1527979057.41,,,,666055.125,503821.15625,150088.0
1527979067.437,,31.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456F98>,,0.0,,,1527979067.437,,,,536433.8125,438343.03125,150088.0
1527979077.428,,41.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F4A8>,,0.0,,,1527979077.428,,,,408255.46875,373593.8125,150088.0
1527979087.426,,50.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928978>,,0.0,,,1527979087.426,,,,279848.90625,308729.34375,150088.0
1527979094.54,,,,,,,,,,,,,0.0,,,1527979094.54,,<vehicleLeave.vehicleLeave object at 0x000001B4777E61D0>,,187310.203125,261983.46875,150088.0
1527979094.543,,,,,,,,,,,,,0.0,,,1527979094.543,,,<vehicleRide.vehicleRide object at 0x000001B477B7B630>,188404.109375,262195.375,150015.78125
1527979097.46,,60.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DE48>,,0.0,,,1527979097.46,,,,183199.90625,259566.53125,137619.171875
1527979107.466,,70.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936358>,,0.0,,,1527979107.466,,,,196312.125,267816.6875,80957.1171875
1527979117.435,,79.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C828>,,0.0,,,1527979117.435,,,,197229.0625,268433.75,20794.99609375
1527979127.464,,89.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941CF8>,,0.0,,,1527979127.464,,,,202375.5625,274597.46875,3203.243408203125
1527979130.777,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1B70>,,,,,0.0,,,1527979130.777,,,,201357.546875,275800.46875,1443.592041015625
