,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978958.148,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EA1AC8>,,,,1527978958.148,,,,561247.0,128957.59375,25676.900390625
1527978968.142,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EB0D68>,,,,1527978968.142,,,,561247.0,128957.59375,25676.900390625
1527978978.143,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EDEAC8>,,,,1527978978.143,,,,561247.0,128957.59375,25676.900390625
1527978988.201,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA04AF60>,,,,1527978988.201,,,,561247.0,128957.59375,25676.900390625
1527978998.147,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7C88>,,,,1527978998.147,,,,561247.0,128957.59375,25676.900390625
1527979008.162,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D1240>,,,,1527979008.162,,,,561247.0,128957.59375,25676.900390625
1527979018.155,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D57B8>,,,,1527979018.155,,,,561247.0,128957.59375,25676.900390625
1527979028.187,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DACF8>,,,,1527979028.187,,,,561247.0,128957.59375,25676.900390625
1527979035.732,,,,,<itemEquip.itemEquip object at 0x00000184B99B9208>,,,,,,,,,1527979035.732,,,,932243.625,638286.0625,150088.0
1527979035.7321,,,,,,<itemPickup.itemPickup object at 0x00000184B9C34C18>,,,,,,,,1527979035.7321,,,,932243.625,638286.0625,150088.0
1527979035.7322001,,,,,,,,,,,,,,1527979035.7322001,,,<vehicleRide.vehicleRide object at 0x00000184BA801DD8>,932243.625,638286.0625,150088.0
1527979038.693,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5208>,,,,1527979038.693,,,,903672.5,623853.3125,150088.0
1527979048.68,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5B6D8>,,,,1527979048.68,,,,779527.6875,561141.6875,150088.0
1527979054.498,,,,,,,,,,,,,,1527979054.498,,<vehicleLeave.vehicleLeave object at 0x00000184B9E66940>,,701893.8125,521924.96875,150088.0
1527979054.505,,,,,,,,,,,,,,1527979054.505,,,<vehicleRide.vehicleRide object at 0x00000184BA2CC0F0>,702733.0625,521578.75,150015.78125
1527979058.681,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4EDBA8>,,,,1527979058.681,,,,695032.6875,509965.90625,137514.734375
1527979068.663,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2128>,,,,1527979068.663,,,,689087.375,487964.3125,79361.453125
1527979078.698,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FB588>,,,,1527979078.698,,,,688407.0625,480739.0625,19781.322265625
1527979088.743,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA500A58>,,,,1527979088.743,,,,687775.4375,465972.875,4396.70849609375
1527979092.669,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B0F898>,,,,,,,1527979092.669,,,,687426.0625,462490.625,2014.6806640625
1527979092.6690998,,,,,,,,,,,,,,1527979092.6690998,,<vehicleLeave.vehicleLeave object at 0x00000184BA7C8E80>,,687426.0625,462490.625,2014.6806640625
1527979094.435,,,,,,<itemPickup.itemPickup object at 0x00000184B9C3CDD8>,,,,,,,,1527979094.435,,,,687634.375,462195.78125,1863.0899658203125
1527979095.124,,,,,,<itemPickup.itemPickup object at 0x00000184B9C3CE48>,,,,,,,,1527979095.124,,,,687699.125,462245.75,1863.0899658203125
1527979098.737,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA506F28>,,,,1527979098.737,,,,687906.3125,461702.46875,1687.1099853515625
1527979102.015,,,,,<itemEquip.itemEquip object at 0x00000184B99C5B00>,,,,,,,,,1527979102.015,,,,687153.5625,462520.71875,1499.679931640625
1527979102.0151,,,,,,<itemPickup.itemPickup object at 0x00000184B9C405F8>,,,,,,,,1527979102.0151,,,,687153.5625,462520.71875,1499.679931640625
1527979102.524,,,,,,<itemPickup.itemPickup object at 0x00000184B9C406D8>,,,,,,,,1527979102.524,,,,687119.8125,462417.5,1499.679931640625
1527979108.799,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50F438>,,,,1527979108.799,,,,684831.0,460577.625,1499.0499267578125
1527979110.567,,,,,<itemEquip.itemEquip object at 0x00000184B99C9390>,,,,,,,,,1527979110.567,,,,684673.4375,461467.71875,1498.969970703125
1527979110.568,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44748>,,,,,,,,1527979110.568,,,,684673.4375,461467.71875,1498.969970703125
1527979111.143,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44828>,,,,,,,,1527979111.143,,,,684689.375,461514.34375,1498.969970703125
1527979113.09,,,,,<itemEquip.itemEquip object at 0x00000184B99C9630>,,,,,,,,,1527979113.09,,,,684691.8125,462163.15625,1499.669921875
1527979113.0900998,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44F28>,,,,,,,,1527979113.0900998,,,,684691.8125,462163.15625,1499.669921875
1527979118.707,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514908>,,,,1527979118.707,,,,684652.875,461575.90625,1498.969970703125
1527979122.871,,,,,,<itemPickup.itemPickup object at 0x00000184B9C51978>,,,,,,,,1527979122.871,,,,685504.375,459903.9375,1499.260009765625
1527979127.445,,<itemAttach.itemAttach object at 0x00000184B93162E8>,,,,,,,,,,,,1527979127.445,,,,687108.8125,459912.34375,1499.1400146484375
1527979127.4450998,,,,,,<itemPickup.itemPickup object at 0x00000184B96DA2E8>,,,,,,,,1527979127.4450998,,,,687108.8125,459912.34375,1499.1400146484375
1527979128.443,,<itemAttach.itemAttach object at 0x00000184B93163C8>,,,,,,,,,,,,1527979128.443,,,,686867.8125,459855.46875,1499.0499267578125
1527979128.786,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519DD8>,,,,1527979128.786,,,,686880.25,459821.5,1499.0499267578125
1527979128.932,,<itemAttach.itemAttach object at 0x00000184B9316588>,,,,,,,,,,,,1527979128.932,,,,686905.125,459825.5625,1499.0499267578125
1527979137.335,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6A748>,,,,,,,,1527979137.335,,,,685590.125,459909.59375,1121.679931640625
1527979138.752,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA523278>,,,,1527979138.752,,,,685109.25,459955.28125,1121.679931640625
1527979148.77,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5295F8>,,,,1527979148.77,,,,684700.25,460178.3125,1121.679931640625
1527979150.174,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA080E48>,,,,,,1527979150.174,,,,684700.25,460178.3125,1121.679931640625
1527979158.695,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA52D8D0>,,,,1527979158.695,,,,684700.25,460178.3125,1121.679931640625
1527979168.727,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA532B00>,,,,1527979168.727,,,,685130.875,460099.875,1121.679931640625
1527979173.997,,,,,,<itemPickup.itemPickup object at 0x00000184B9C9CD68>,,,,,,,,1527979173.997,,,,684731.5625,462238.4375,1121.5999755859375
1527979174.685,,,,,,<itemPickup.itemPickup object at 0x00000184B9C9C0F0>,,,,,,,,1527979174.685,,,,684716.0625,462175.90625,1121.5999755859375
1527979175.574,,,,,<itemEquip.itemEquip object at 0x00000184B99EA6A0>,,,,,,,,,1527979175.574,,,,684751.4375,462160.65625,1121.5999755859375
1527979175.575,,,,,,<itemPickup.itemPickup object at 0x00000184B9CA2588>,,,,,,,,1527979175.575,,,,684751.4375,462160.65625,1121.5999755859375
1527979176.993,,<itemAttach.itemAttach object at 0x00000184B931FF28>,,,,,,,,,,,,1527979176.993,,,,684738.9375,462263.84375,1121.5999755859375
1527979178.088,,<itemAttach.itemAttach object at 0x00000184B931F4A8>,,,,,,,,,,,,1527979178.088,,,,684888.0,462073.34375,1121.5999755859375
1527979178.711,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA537D30>,,,,1527979178.711,,,,684778.9375,462164.0625,1121.5999755859375
1527979188.693,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA53CE80>,,,,1527979188.693,,,,685351.0,462136.59375,1121.5999755859375
1527979196.585,,,,,<itemEquip.itemEquip object at 0x00000184B99EF198>,,,,,,,,,1527979196.585,,,,687675.75,462518.1875,1121.5999755859375
