,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978969.571,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47734BFD0>,,0.0,,,1527978969.571,,,,343302.0625,171039.0,1542.0
1527978979.578,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477376908>,,0.0,,,1527978979.578,,,,343302.0625,171039.0,1542.0
1527978989.581,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774C87F0>,,0.0,,,1527978989.581,,,,343302.0625,171039.0,1542.0
1527978999.554,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDF98>,,0.0,,,1527978999.554,,,,343302.0625,171039.0,1542.0
1527979009.555,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499588>,,0.0,,,1527979009.555,,,,343302.0625,171039.0,1542.0
1527979019.568,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480B00>,,0.0,,,1527979019.568,,,,343302.0625,171039.0,1542.0
1527979029.581,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774701D0>,,0.0,,,1527979029.581,,,,343302.0625,171039.0,1542.0
1527979035.763,,,,,,<itemEquip.itemEquip object at 0x000001B476E514E0>,,,,,,,0.0,,,1527979035.763,,,,932243.625,638286.0625,150088.0
1527979035.7631,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF470>,,,,,,0.0,,,1527979035.7631,,,,932243.625,638286.0625,150088.0
1527979035.7632,,,,,,,,,,,,,0.0,,,1527979035.7632,,,<vehicleRide.vehicleRide object at 0x000001B477873630>,932243.625,638286.0625,150088.0
1527979040.064,,4.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A550>,,0.0,,,1527979040.064,,,,889958.625,616925.75,150088.0
1527979050.084,,14.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EA20>,,0.0,,,1527979050.084,,,,761411.0,551990.0,150088.0
1527979060.083,,24.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365EF0>,,0.0,,,1527979060.083,,,,631888.0625,486561.65625,150088.0
1527979070.097,,34.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441400>,,0.0,,,1527979070.097,,,,502389.59375,421145.59375,150088.0
1527979078.263,,,,,,,,,,,,,0.0,,,1527979078.263,,<vehicleLeave.vehicleLeave object at 0x000001B4777D26D8>,,397430.5,368125.59375,150088.0
1527979078.268,,,,,,,,,,,,,0.0,,,1527979078.268,,,<vehicleRide.vehicleRide object at 0x000001B477B6BE10>,398206.625,369113.75,150015.78125
1527979080.091,,43.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F8D0>,,0.0,,,1527979080.091,,,,394423.34375,367202.65625,145029.84375
1527979090.098,,53.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928DA0>,,0.0,,,1527979090.098,,,,391761.15625,365656.53125,80484.171875
1527979100.141,,63.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779332B0>,,0.0,,,1527979100.141,,,,391744.0,365326.25,20606.765625
1527979110.156,,72.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936780>,,0.0,,,1527979110.156,,,,391097.625,352947.53125,2604.805908203125
1527979112.477,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0EB8>,,,,,0.0,,,1527979112.477,,,,391554.0,351442.0,531.0076293945312
1527979112.4771,,,,,,,,,,,,,0.0,,,1527979112.4771,,<vehicleLeave.vehicleLeave object at 0x000001B477807438>,,391554.0,351442.0,531.0076293945312
1527979120.114,,82.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CC50>,,0.0,,,1527979120.114,,,,390814.0625,350569.6875,259.5
1527979121.508,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA1D0>,,,,,,0.0,,,1527979121.508,,,,390783.5625,350284.5,259.5
1527979126.029,,,,,,<itemEquip.itemEquip object at 0x000001B476E65E48>,,,,,,,0.0,,,1527979126.029,,,,391864.875,350468.0625,259.5
1527979126.0291,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE9B0>,,,,,,0.0,,,1527979126.0291,,,,391864.875,350468.0625,259.5
1527979126.39,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EEE10>,,,,,,0.0,,,1527979126.39,,,,391877.1875,350479.1875,259.5
1527979130.139,,91.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779410F0>,,0.0,,,1527979130.139,,,,391116.0625,350097.3125,659.5
1527979133.455,,,,,,<itemEquip.itemEquip object at 0x000001B476E67F98>,,,,,,,0.0,,,1527979133.455,,,,391298.0,349783.9375,659.5
1527979133.4550998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FD780>,,,,,,0.0,,,1527979133.4550998,,,,391298.0,349783.9375,659.5
1527979133.4552,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1358>,,,,,0.0,,,1527979133.4552,,,,391298.0,349783.9375,659.5
1527979133.818,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDA90>,,,,,,0.0,,,1527979133.818,,,,391298.0,349783.9375,659.5
1527979134.084,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDB70>,,,,,,0.0,,,1527979134.084,,,,391298.0,349783.9375,659.5
1527979140.136,,101.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C588>,,0.0,,,1527979140.136,,,,389905.3125,350816.59375,451.6300048828125
1527979150.127,,111.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951908>,,0.0,,,1527979150.127,,,,393764.0625,354760.6875,278.6399841308594
1527979157.594,,,,,,<itemEquip.itemEquip object at 0x000001B476E77C18>,,,,,,,0.0,,,1527979157.594,,,,395135.625,355838.59375,267.0
1527979157.5941,,,,,,,<itemPickup.itemPickup object at 0x000001B47711F630>,,,,,,0.0,,,1527979157.5941,,,,395135.625,355838.59375,267.0
1527979157.986,,,,,,,<itemPickup.itemPickup object at 0x000001B47711F940>,,,,,,0.0,,,1527979157.986,,,,395135.625,355838.59375,267.0
1527979158.194,,,,,,,<itemPickup.itemPickup object at 0x000001B47711FA90>,,,,,,0.0,,,1527979158.194,,,,395135.625,355838.59375,267.0
1527979158.528,,,,,,<itemEquip.itemEquip object at 0x000001B476E77F98>,,,,,,,0.0,,,1527979158.528,,,,395135.625,355838.59375,267.0
1527979158.5281,,,,,,,<itemPickup.itemPickup object at 0x000001B47711FE10>,,,,,,0.0,,,1527979158.5281,,,,395135.625,355838.59375,267.0
1527979160.115,,120.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957BE0>,,0.0,,,1527979160.115,,,,395010.1875,355587.5625,267.0
1527979170.092,,130.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795AE10>,,0.0,,,1527979170.092,,,,395873.65625,356069.1875,616.9400024414062
1527979172.102,,,,,,,<itemPickup.itemPickup object at 0x000001B4771319B0>,,,,,,0.0,,,1527979172.102,,,,395861.0625,356091.0625,616.9400024414062
1527979175.491,,,,,<itemDrop.itemDrop object at 0x000001B476D8FBA8>,,,,,,,,0.0,,,1527979175.491,,,,395286.71875,355530.34375,616.9400024414062
1527979175.4910998,,,,,,<itemEquip.itemEquip object at 0x000001B476E80748>,,,,,,,0.0,,,1527979175.4910998,,,,395286.71875,355530.34375,616.9400024414062
1527979175.4912,,,,,,,<itemPickup.itemPickup object at 0x000001B4771375C0>,,,,,,0.0,,,1527979175.4912,,,,395286.71875,355530.34375,616.9400024414062
1527979175.4912999,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD0CC0>,,,,,0.0,,,1527979175.4912999,,,,395286.71875,355530.34375,616.9400024414062
1527979180.121,,140.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960080>,,0.0,,,1527979180.121,,,,395735.5,355502.5,616.9400024414062
1527979190.114,,149.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965048>,,0.0,,,1527979190.114,,,,395180.3125,355875.1875,682.4199829101562
1527979198.295,,,,,,,<itemPickup.itemPickup object at 0x000001B477152C50>,,,,,,0.0,,,1527979198.295,,,,395857.0,355579.15625,966.8999633789062
1527979198.658,,,,,,,<itemPickup.itemPickup object at 0x000001B477152D30>,,,,,,0.0,,,1527979198.658,,,,395857.0,355579.15625,966.8999633789062
1527979200.091,,159.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47796E278>,,0.0,,,1527979200.091,,,,395944.28125,355672.0625,966.8999633789062
1527979210.09,,169.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779732E8>,,0.0,,,1527979210.09,,,,397472.65625,352883.3125,211.25
1527979215.307,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540AC8>,,,,0.0,,,1527979215.307,,,,397245.34375,350858.1875,237.67999267578125
1527979215.503,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540B70>,,,,0.0,,,1527979215.503,,,,397245.34375,350858.1875,237.67999267578125
1527979216.453,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540CC0>,,,,0.0,,,1527979216.453,,,,397245.34375,350858.1875,237.67999267578125
1527979216.794,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540D68>,,,,0.0,,,1527979216.794,,,,397245.34375,350858.1875,237.67999267578125
1527979217.539,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D30390>,0.0,,,1527979217.539,,,,397226.03125,350864.46875,237.67999267578125
1527979217.58,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540EB8>,,,,0.0,,,1527979217.58,,,,397226.03125,350864.46875,237.67999267578125
1527979217.874,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545198>,,,,0.0,,,1527979217.874,,,,397220.03125,350866.4375,237.67999267578125
1527979218.213,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545438>,,,,0.0,,,1527979218.213,,,,397179.84375,350879.1875,237.1499938964844
1527979218.438,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545588>,,,,0.0,,,1527979218.438,,,,397109.9375,350900.0625,237.1499938964844
1527979218.736,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775456D8>,,,,0.0,,,1527979218.736,,,,397046.34375,350912.84375,237.1499938964844
1527979218.944,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545828>,,,,0.0,,,1527979218.944,,,,396986.125,350885.625,237.1499938964844
1527979219.315,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D30630>,0.0,,,1527979219.315,,,,396884.90625,350825.1875,237.1499938964844
1527979220.102,,179.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477979320>,,0.0,,,1527979220.102,,,,396603.21875,350664.6875,299.4100036621094
1527979223.803,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545AC8>,,,,0.0,,,1527979223.803,,,,396588.3125,349725.03125,214.37998962402344
1527979224.017,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545B70>,,,,0.0,,,1527979224.017,,,,396588.3125,349725.03125,214.37998962402344
1527979224.17,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545C18>,,,,0.0,,,1527979224.17,,,,396586.78125,349725.875,214.37998962402344
1527979224.331,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545CC0>,,,,0.0,,,1527979224.331,,,,396569.15625,349735.59375,214.37998962402344
1527979224.836,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477545D68>,,,,0.0,,,1527979224.836,,,,396594.625,349721.0625,214.37998962402344
1527979228.427,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775450B8>,,,,0.0,,,1527979228.427,,,,396378.21875,349835.5625,214.37998962402344
1527979228.607,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775450F0>,,,,0.0,,,1527979228.607,,,,396360.0625,349842.90625,214.37998962402344
1527979228.79,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549198>,,,,0.0,,,1527979228.79,,,,396366.78125,349840.0625,214.37998962402344
1527979228.921,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549240>,,,,0.0,,,1527979228.921,,,,396389.625,349830.46875,214.37998962402344
1527979229.109,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775492E8>,,,,0.0,,,1527979229.109,,,,396414.625,349818.625,214.37998962402344
1527979229.253,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549390>,,,,0.0,,,1527979229.253,,,,396439.34375,349806.125,214.37998962402344
1527979229.497,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549438>,,,,0.0,,,1527979229.497,,,,396466.34375,349791.75,214.37998962402344
1527979230.094,,188.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797C2B0>,,0.0,,,1527979230.094,,,,396474.0625,349703.21875,186.37998962402344
1527979232.965,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775494E0>,,,,0.0,,,1527979232.965,,,,396389.90625,349850.90625,214.37998962402344
1527979233.21,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549588>,,,,0.0,,,1527979233.21,,,,396389.90625,349850.90625,214.37998962402344
1527979240.088,,198.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797C080>,,0.0,,,1527979240.088,,,,397725.4375,353165.0625,211.25
1527979250.096,,208.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779821D0>,,0.0,,,1527979250.096,,,,398439.78125,354300.46875,260.5899963378906
1527979253.412,,,,,,<itemEquip.itemEquip object at 0x000001B476E96A58>,,,,,,,0.0,,,1527979253.412,,,,398611.75,353846.03125,255.1499938964844
1527979253.413,,,,,,,<itemPickup.itemPickup object at 0x000001B476DDC048>,,,,,,0.0,,,1527979253.413,,,,398611.75,353846.03125,255.1499938964844
1527979253.842,,,,,,,<itemPickup.itemPickup object at 0x000001B4771902B0>,,,,,,0.0,,,1527979253.842,,,,398611.75,353846.03125,255.1499938964844
1527979254.732,,,,,,,<itemPickup.itemPickup object at 0x000001B4771905C0>,,,,,,0.0,,,1527979254.732,,,,398611.75,353846.03125,255.1499938964844
1527979255.484,,,,,<itemDrop.itemDrop object at 0x000001B476D9E2E8>,,,,,,,,0.0,,,1527979255.484,,,,398611.84375,353846.15625,255.1499938964844
1527979260.122,,218.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477987EB8>,,0.0,,,1527979260.122,,,,397883.625,354385.625,412.6399841308594
1527979270.123,,228.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47798CD30>,,0.0,,,1527979270.123,,,,398125.78125,354207.1875,605.1199951171875
1527979270.183,,,,,,,<itemPickup.itemPickup object at 0x000001B47719D400>,,,,,,0.0,,,1527979270.183,,,,398125.78125,354207.1875,605.1199951171875
1527979271.255,,,<itemAttach.itemAttach object at 0x000001B476BD5A90>,,,,,,,,,,0.0,,,1527979271.255,,,,398125.78125,354207.1875,605.1199951171875
1527979271.2551,,,,,,,<itemPickup.itemPickup object at 0x000001B47719D7F0>,,,,,,0.0,,,1527979271.2551,,,,398125.78125,354207.1875,605.1199951171875
1527979280.111,,237.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477990B70>,,0.0,,,1527979280.111,,,,398437.5,353610.03125,605.1199951171875
1527979281.617,,,<itemAttach.itemAttach object at 0x000001B476BD9198>,,,,,,,,,,0.0,,,1527979281.617,,,,398203.65625,353720.21875,605.1199951171875
1527979285.56,,,,,,<itemEquip.itemEquip object at 0x000001B476E9AF98>,,,,,,,0.0,,,1527979285.56,,,,398504.71875,354157.28125,605.1199951171875
1527979285.561,,,,,,,<itemPickup.itemPickup object at 0x000001B4771A8470>,,,,,,0.0,,,1527979285.561,,,,398504.71875,354157.28125,605.1199951171875
1527979285.85,,,,,,,<itemPickup.itemPickup object at 0x000001B4771A8630>,,,,,,0.0,,,1527979285.85,,,,398504.84375,354152.6875,605.1199951171875
1527979286.099,,,,,,,<itemPickup.itemPickup object at 0x000001B4771A86A0>,,,,,,0.0,,,1527979286.099,,,,398504.84375,354152.6875,605.1199951171875
1527979287.845,,,,,,<itemEquip.itemEquip object at 0x000001B476EA04A8>,,,,,,,0.0,,,1527979287.845,,,,398604.28125,353825.0625,605.1199951171875
1527979287.846,,,,,,,<itemPickup.itemPickup object at 0x000001B4771A8080>,,,,,,0.0,,,1527979287.846,,,,398604.28125,353825.0625,605.1199951171875
1527979288.165,,,,,,,<itemPickup.itemPickup object at 0x000001B4771AC240>,,,,,,0.0,,,1527979288.165,,,,398604.28125,353825.0625,605.1199951171875
1527979288.461,,,,,,,<itemPickup.itemPickup object at 0x000001B4771AC4E0>,,,,,,0.0,,,1527979288.461,,,,398604.28125,353825.0625,605.1199951171875
1527979288.747,,,,,,,<itemPickup.itemPickup object at 0x000001B4771AC630>,,,,,,0.0,,,1527979288.747,,,,398604.28125,353825.0625,605.1199951171875
1527979289.571,,,<itemAttach.itemAttach object at 0x000001B476BD9BA8>,,,,,,,,,,0.0,,,1527979289.571,,,,398604.28125,353825.0625,605.1199951171875
1527979289.5711,,,,<itemDetach.itemDetach object at 0x000001B476CB5A20>,,,,,,,,,0.0,,,1527979289.5711,,,,398604.28125,353825.0625,605.1199951171875
1527979290.087,,247.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477995978>,,0.0,,,1527979290.087,,,,398604.28125,353825.0625,605.1199951171875
1527979300.147,,257.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47799B748>,,0.0,,,1527979300.147,,,,398604.28125,353825.0625,605.1199951171875
1527979310.097,,267.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47799E4E0>,,0.0,,,1527979310.097,,,,398604.28125,353825.0625,605.1199951171875
1527979320.11,,277.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779A4240>,,0.0,,,1527979320.11,,,,398246.5625,353996.4375,605.1199951171875
1527979330.115,,286.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779A4F60>,,0.0,,,1527979330.115,,,,398266.875,353188.5,211.25
1527979335.079,,,,,,,<itemPickup.itemPickup object at 0x000001B4771C8550>,,,,,,0.0,,,1527979335.079,,,,399113.28125,353018.9375,252.1499938964844
1527979338.519,,,<itemAttach.itemAttach object at 0x000001B476BE5080>,,,,,,,,,,0.0,,,1527979338.519,,,,399107.90625,353391.21875,252.1499938964844
1527979338.5191,,,,,,,<itemPickup.itemPickup object at 0x000001B4771C8860>,,,,,,0.0,,,1527979338.5191,,,,399107.90625,353391.21875,252.1499938964844
1527979340.093,,296.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779A9C88>,,0.0,,,1527979340.093,,,,399157.78125,353062.21875,257.5899963378906
1527979350.138,,306.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779AE9B0>,,0.0,,,1527979350.138,,,,399632.59375,352675.5,272.3599853515625
1527979355.839,,,,,,<itemEquip.itemEquip object at 0x000001B476EA3EB8>,,,,,,,0.0,,,1527979355.839,,,,399641.4375,352871.9375,602.1199951171875
1527979355.8391,,,,,,,<itemPickup.itemPickup object at 0x000001B4771D1780>,,,,,,0.0,,,1527979355.8391,,,,399641.4375,352871.9375,602.1199951171875
1527979358.298,,,<itemAttach.itemAttach object at 0x000001B476BEC128>,,,,,,,,,,0.0,,,1527979358.298,,,,399628.625,352911.3125,602.1199951171875
1527979358.299,,,,,,,<itemPickup.itemPickup object at 0x000001B4771D1E10>,,,,,,0.0,,,1527979358.299,,,,399628.625,352911.3125,602.1199951171875
1527979360.108,,316.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779B26A0>,,0.0,,,1527979360.108,,,,399607.21875,353381.46875,602.1199951171875
1527979365.736,,,,,,,<itemPickup.itemPickup object at 0x000001B4771D5E10>,,,,,,0.0,,,1527979365.736,,,,399130.40625,353099.90625,602.1199951171875
1527979370.096,,326.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779B8358>,,0.0,,,1527979370.096,,,,399939.875,353182.9375,602.1199951171875
1527979377.361,,,,,,,<itemPickup.itemPickup object at 0x000001B4771DAE80>,,,,,,0.0,,,1527979377.361,,,,400393.1875,352710.0625,254.9499969482422
1527979377.724,,,,,,<itemEquip.itemEquip object at 0x000001B476EA72E8>,,,,,,,0.0,,,1527979377.724,,,,400393.1875,352710.0625,254.9499969482422
1527979377.725,,,,,,,<itemPickup.itemPickup object at 0x000001B4771DAF60>,,,,,,0.0,,,1527979377.725,,,,400393.1875,352710.0625,254.9499969482422
1527979380.107,,336.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779B8F98>,,0.0,,,1527979380.107,,,,400605.59375,352229.90625,209.69000244140625
1527979386.735,,,,,<itemDrop.itemDrop object at 0x000001B476DA5048>,,,,,,,,0.0,,,1527979386.735,,,,402026.03125,350229.1875,216.92999267578125
1527979386.7350998,,,,,,<itemEquip.itemEquip object at 0x000001B476EA7668>,,,,,,,0.0,,,1527979386.7350998,,,,402026.03125,350229.1875,216.92999267578125
1527979386.7352,,,,,,,<itemPickup.itemPickup object at 0x000001B4771DEF60>,,,,,,0.0,,,1527979386.7352,,,,402026.03125,350229.1875,216.92999267578125
1527979386.7352998,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B477013D68>,,,,,0.0,,,1527979386.7352998,,,,402026.03125,350229.1875,216.92999267578125
1527979387.049,,,,,,<itemEquip.itemEquip object at 0x000001B476EA76D8>,,,,,,,0.0,,,1527979387.049,,,,402048.0625,350191.4375,216.92999267578125
1527979387.0491,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B477013E10>,,,,,0.0,,,1527979387.0491,,,,402048.0625,350191.4375,216.92999267578125
1527979387.05,,,,,,,<itemPickup.itemPickup object at 0x000001B4771DE128>,,,,,,0.0,,,1527979387.05,,,,402048.0625,350191.4375,216.92999267578125
1527979390.076,,345.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779BDC18>,,0.0,,,1527979390.076,,,,401447.03125,348566.9375,208.3199920654297
1527979400.111,,355.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779C0898>,,0.0,,,1527979400.111,,,,397959.4375,345290.0,604.4299926757812
1527979410.068,,365.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779C6518>,,0.0,,,1527979410.068,,,,394078.34375,342671.78125,592.5
1527979420.104,,375.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779C60F0>,,0.0,,,1527979420.104,,,,390001.5,344842.4375,229.52999877929688
1527979430.103,,385.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779CBD68>,,0.0,,,1527979430.103,,,,389632.1875,344829.5,229.54998779296875
1527979440.098,,395.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779D0940>,,0.0,,,1527979440.098,,,,384520.75,347683.71875,286.72998046875
1527979450.084,,404.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779D44E0>,,0.0,,,1527979450.084,,,,380089.625,350716.1875,425.7699890136719
1527979460.086,,414.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779D4FD0>,,0.0,,,1527979460.086,,,,375731.0,353750.90625,420.4100036621094
1527979470.083,,424.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779DAAC8>,,0.0,,,1527979470.083,,,,371529.5625,355627.0625,457.6399841308594
1527979480.1,,434.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779DF588>,,0.0,,,1527979480.1,,,,369937.40625,355541.03125,425.5
1527979488.803,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775CEEB8>,,,,0.0,,,1527979488.803,,,,371057.0625,357490.9375,500.5
1527979489.106,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775CEF60>,,,,0.0,,,1527979489.106,,,,371057.0625,357490.9375,500.5
1527979489.207,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775CE048>,,,,0.0,,,1527979489.207,,,,371057.0625,357490.9375,500.5
1527979489.41,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775CE0F0>,,,,0.0,,,1527979489.41,,,,371057.0625,357490.9375,500.5
1527979489.482,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2198>,,,,0.0,,,1527979489.482,,,,371057.0625,357490.9375,500.5
1527979489.75,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2240>,,,,0.0,,,1527979489.75,,,,371057.0625,357490.9375,500.5
1527979489.918,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D22E8>,,,,0.0,,,1527979489.918,,,,371057.0625,357490.9375,500.5
1527979490.094,,444.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779DF198>,,0.0,,,1527979490.094,,,,371057.0625,357490.9375,500.5
1527979490.117,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2390>,,,,0.0,,,1527979490.117,,,,371057.0625,357490.9375,500.5
1527979490.382,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D24E0>,,,,0.0,,,1527979490.382,,,,371057.0625,357490.9375,500.5
1527979490.616,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2588>,,,,0.0,,,1527979490.616,,,,371057.0625,357490.9375,500.5
1527979490.858,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2630>,,,,0.0,,,1527979490.858,,,,371057.0625,357490.9375,500.5
1527979491.089,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D26D8>,,,,0.0,,,1527979491.089,,,,371057.0625,357490.9375,500.5
1527979491.289,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D2780>,,,,0.0,,,1527979491.289,,,,371057.0625,357490.9375,500.5
1527979491.491,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775D28D0>,,,,0.0,,,1527979491.491,,,,371057.0625,357490.9375,500.5
1527979499.166,,,,,,<itemEquip.itemEquip object at 0x000001B476EAC0F0>,,,,,,,0.0,,,1527979499.166,,,,372410.625,359578.0,528.5
1527979499.1660998,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B47702F438>,,,,,0.0,,,1527979499.1660998,,,,372410.625,359578.0,528.5
1527979499.1662,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775DAAC8>,,,,0.0,,,1527979499.1662,,,,372410.625,359578.0,528.5
