,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978983.512,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E240>,,0.0,,,1527978983.512,,,,344451.59375,170720.203125,1453.75
1527978993.517,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4777440B8>,,0.0,,,1527978993.517,,,,344318.84375,170709.578125,1453.3399658203125
1527979003.534,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B05F8>,,0.0,,,1527979003.534,,,,343358.6875,166307.65625,1681.469970703125
1527979013.518,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499BA8>,,0.0,,,1527979013.518,,,,340912.21875,163054.0625,1931.0699462890625
1527979023.531,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774800B8>,,0.0,,,1527979023.531,,,,341931.46875,163040.875,1931.0699462890625
1527979033.542,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F5F8>,,0.0,,,1527979033.542,,,,341138.84375,159240.375,1945.0799560546875
1527979035.871,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A6A0>,,,,,,,0.0,,,1527979035.871,,,,932243.625,638286.0625,150088.0
1527979035.8711,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2D30>,,,,,,0.0,,,1527979035.8711,,,,932243.625,638286.0625,150088.0
1527979035.8712,,,,,,,,,,,,,0.0,,,1527979035.8712,,,<vehicleRide.vehicleRide object at 0x000001B47788FEF0>,932243.625,638286.0625,150088.0
1527979044.036,,8.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AAC8>,,0.0,,,1527979044.036,,,,837438.3125,590395.25,150088.0
1527979054.044,,18.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EF98>,,0.0,,,1527979054.044,,,,707529.125,524771.6875,150088.0
1527979064.055,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774564A8>,,0.0,,,1527979064.055,,,,579389.25,460041.90625,150088.0
1527979066.302,,,,,,,,,,,,,0.0,,,1527979066.302,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB7B8>,,550828.9375,445614.6875,150088.0
