,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978956.964,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477334780>,,0.0,,,1527978956.964,,,,797052.625,20312.798828125,528.5
1527978966.965,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733E5C0>,,0.0,,,1527978966.965,,,,797052.625,20312.798828125,528.5
1527978977.012,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736C588>,,0.0,,,1527978977.012,,,,797052.625,20312.798828125,528.5
1527978987.0,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774A5048>,,0.0,,,1527978987.0,,,,797052.625,20312.798828125,528.5
1527978997.015,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDC18>,,0.0,,,1527978997.015,,,,797052.625,20312.798828125,528.5
1527979006.995,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0080>,,0.0,,,1527979006.995,,,,797052.625,20312.798828125,528.5
1527979016.969,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480748>,,0.0,,,1527979016.969,,,,797052.625,20312.798828125,528.5
1527979027.009,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470C88>,,0.0,,,1527979027.009,,,,797052.625,20312.798828125,528.5
1527979035.726,,,,,,,,,,,,,0.0,,,1527979035.726,,,<vehicleRide.vehicleRide object at 0x000001B477C4ADA0>,932243.625,638286.0625,150088.0
1527979035.727,,,,,,<itemEquip.itemEquip object at 0x000001B476E51048>,,,,,,,0.0,,,1527979035.727,,,,932243.625,638286.0625,150088.0
1527979035.7271,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CABE0>,,,,,,0.0,,,1527979035.7271,,,,932243.625,638286.0625,150088.0
1527979037.498,,2.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F048>,,0.0,,,1527979037.498,,,,925879.0625,635071.0625,150088.0
1527979047.516,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E668>,,0.0,,,1527979047.516,,,,794030.375,568467.6875,150088.0
1527979057.518,,21.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365B38>,,0.0,,,1527979057.518,,,,664802.6875,503188.4375,150088.0
1527979067.517,,31.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456198>,,0.0,,,1527979067.517,,,,535194.5,437716.96875,150088.0
1527979077.507,,41.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F518>,,0.0,,,1527979077.507,,,,407137.78125,373029.1875,150088.0
1527979086.349,,,,,,,,,,,,,0.0,,,1527979086.349,,<vehicleLeave.vehicleLeave object at 0x000001B4777D29E8>,,293301.0625,315524.65625,150088.0
1527979086.353,,,,,,,,,,,,,0.0,,,1527979086.353,,,<vehicleRide.vehicleRide object at 0x000001B477B6B080>,295017.34375,315670.5,150015.78125
1527979087.571,,51.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779289E8>,,0.0,,,1527979087.571,,,,292294.71875,312984.75,147588.921875
1527979097.537,,60.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DEB8>,,0.0,,,1527979097.537,,,,294489.09375,279192.84375,112747.4921875
1527979107.581,,70.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779363C8>,,0.0,,,1527979107.581,,,,304984.125,245837.609375,77666.0
1527979117.587,,79.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C898>,,0.0,,,1527979117.587,,,,313757.78125,219258.296875,48865.8125
1527979127.539,,89.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941D68>,,0.0,,,1527979127.539,,,,320342.75,203769.46875,39043.03515625
1527979137.535,,99.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C240>,,0.0,,,1527979137.535,,,,327007.8125,188729.734375,23216.349609375
1527979147.56,,108.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779515C0>,,0.0,,,1527979147.56,,,,333326.75,174559.59375,6014.4716796875
1527979151.391,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FCA550>,,,,,0.0,,,1527979151.391,,,,334926.75,171038.640625,2095.9296875
1527979151.3911,,,,,,,,,,,,,0.0,,,1527979151.3911,,<vehicleLeave.vehicleLeave object at 0x000001B477BEABA8>,,334926.75,171038.640625,2095.9296875
1527979157.181,,,,,,<itemEquip.itemEquip object at 0x000001B476E77B38>,,,,,,,0.0,,,1527979157.181,,,,334770.4375,172967.28125,1683.1199951171875
1527979157.1811,,,,,,,<itemPickup.itemPickup object at 0x000001B47711F2B0>,,,,,,0.0,,,1527979157.1811,,,,334770.4375,172967.28125,1683.1199951171875
1527979157.507,,118.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779578D0>,,0.0,,,1527979157.507,,,,334770.4375,172967.28125,1683.1199951171875
1527979163.624,,,,,,,<itemPickup.itemPickup object at 0x000001B477125080>,,,,,,0.0,,,1527979163.624,,,,336699.75,171371.890625,1684.260009765625
1527979167.509,,127.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795AB00>,,0.0,,,1527979167.509,,,,335303.4375,170580.5625,1683.1199951171875
1527979167.51,,,,,,,<itemPickup.itemPickup object at 0x000001B47712D710>,,,,,,0.0,,,1527979167.51,,,,335303.4375,170580.5625,1683.1199951171875
1527979170.31,,,,,,,<itemPickup.itemPickup object at 0x000001B477131320>,,,,,,0.0,,,1527979170.31,,,,335230.53125,170575.171875,1683.1199951171875
1527979170.836,,,,,,<itemEquip.itemEquip object at 0x000001B476E801D0>,,,,,,,0.0,,,1527979170.836,,,,335230.53125,170575.171875,1683.1199951171875
1527979170.8360999,,,,,,,<itemPickup.itemPickup object at 0x000001B4771315C0>,,,,,,0.0,,,1527979170.8360999,,,,335230.53125,170575.171875,1683.1199951171875
1527979174.95,,,,,,<itemEquip.itemEquip object at 0x000001B476E80588>,,,,,,,0.0,,,1527979174.95,,,,335152.0,170654.453125,1854.419921875
1527979174.9501,,,,,,,<itemPickup.itemPickup object at 0x000001B477137320>,,,,,,0.0,,,1527979174.9501,,,,335152.0,170654.453125,1854.419921875
1527979177.535,,137.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960D30>,,0.0,,,1527979177.535,,,,334890.1875,170246.9375,1683.1199951171875
1527979187.516,,147.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965E80>,,0.0,,,1527979187.516,,,,336534.34375,167760.3125,1691.02001953125
