,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978960.742,,-74.9559998512268,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99BA8>,,0.0,,,1527978960.742,Foot,,,,344331.75,171043.28125,1453.43310546875
1527978970.738,,-64.96000003814697,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DADAC8>,,0.0,,,1527978970.738,Foot,,,,344331.75,171043.28125,1453.429931640625
1527978980.791,,-54.90700006484985,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DDC0F0>,,0.0,,,1527978980.791,Foot,,,,343209.78125,168315.671875,1453.429931640625
1527978981.844,,-53.853999853134155,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F49A58>,,,,0.0,,,1527978981.844,Foot,,,,342560.3125,168252.453125,1539.97998046875
1527978982.313,,-53.38499999046326,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F49B00>,,,,0.0,,,1527978982.313,Foot,,,,342521.34375,168221.796875,1539.8558349609375
1527978990.775,,-44.9229998588562,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA588>,,0.0,,,1527978990.775,Foot,,,,339145.875,168110.53125,1683.0399169921875
1527979000.773,,-34.924999952316284,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DB00>,,0.0,,,1527979000.773,Foot,,,,335807.5,165038.71875,1833.3699951171875
1527979010.756,,-24.941999912261963,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430160>,,0.0,,,1527979010.756,Foot,,,,333175.28125,159775.4375,2265.199951171875
1527979020.78,,-14.917999982833862,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B630>,,0.0,,,1527979020.78,Foot,,,,332751.5625,154417.9375,1739.929931640625
1527979030.764,,-4.934000015258789,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FB70>,,0.0,,,1527979030.764,Foot,,,,331547.09375,150542.875,2050.679931640625
1527979035.743,,0.04500007629394531,1,,,,,,,,,,,,0.0,,,1527979035.743,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343B00>,932243.625,638286.0625,150088.0
1527979035.744,,0.046000003814697266,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6940>,,,,,,,0.0,,,1527979035.744,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979035.7440999,,0.04609990119934082,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B569E8>,,,,,,0.0,,,1527979035.7440999,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979041.288,,5.590000152587891,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094441D0>,,0.0,,,1527979041.288,DummyTransportAircraft_C,,,,875703.5625,609724.875,150088.0
1527979051.286,,15.588000059127808,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F550>,,0.0,,,1527979051.286,DummyTransportAircraft_C,,,,745351.8125,543877.75,150088.0
1527979061.343,,25.644999980926514,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452A20>,,0.0,,,1527979061.343,DummyTransportAircraft_C,,,,616048.6875,478560.40625,150088.0
1527979071.299,,35.6010000705719,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459EF0>,,0.0,,,1527979071.299,DummyTransportAircraft_C,,,,486808.90625,413275.0,150088.0
1527979081.274,,45.57599997520447,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461400>,,0.0,,,1527979081.274,DummyTransportAircraft_C,,,,357912.5,348163.03125,150088.0
1527979091.293,,55.59500002861023,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094668D0>,,0.0,,,1527979091.293,DummyTransportAircraft_C,,,,229082.25,283084.53125,150088.0
1527979101.315,,65.61700010299683,1,,,,,,,,,,,,0.0,,,1527979101.315,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929D358>,,100005.4609375,217881.5,150088.0
1527979101.317,,65.61899995803833,1,,,,,,,,,,,,0.0,,,1527979101.317,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x00000160096AB320>,100507.328125,218753.65625,150015.78125
1527979101.331,,65.63300013542175,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BDA0>,,0.0,,,1527979101.331,ParachutePlayer_C,,,,100294.953125,218646.375,150007.90625
1527979111.338,,75.64000010490417,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094732B0>,,0.0,,,1527979111.338,ParachutePlayer_C,,,,94096.2109375,215515.171875,112008.296875
1527979121.314,,85.6159999370575,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B780>,,0.0,,,1527979121.314,ParachutePlayer_C,,,,94096.2109375,215515.171875,62167.671875
1527979131.356,,95.6579999923706,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947FC50>,,0.0,,,1527979131.356,ParachutePlayer_C,,,,92993.84375,216127.34375,19441.544921875
1527979141.339,,105.64100003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484198>,,0.0,,,1527979141.339,ParachutePlayer_C,,,,102220.2109375,209280.015625,2806.7294921875
1527979147.482,,111.78400015830994,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A519B0>,,,,,0.0,,,1527979147.482,ParachutePlayer_C,,,,103674.2578125,206978.8125,626.5162963867188
1527979147.483,,111.78500008583069,0,,,,,,,,,,,,0.0,,,1527979147.483,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092DE438>,,103674.2578125,206978.8125,626.5162963867188
1527979151.347,,115.6489999294281,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E438>,,0.0,,,1527979151.347,Foot,,,,103751.3203125,206835.96875,463.25
1527979161.29,,125.5920000076294,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094936D8>,,0.0,,,1527979161.29,Foot,,,,104326.6953125,209442.75,52.88999938964844
1527979171.306,,135.60800004005432,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496908>,,0.0,,,1527979171.306,Foot,,,,104249.4140625,208709.921875,434.3499755859375
1527979175.667,,139.96900010108948,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF88D0>,1527979175.667,Foot,,,,105653.75,207702.625,-370.31536865234375
1527979178.291,,142.59299993515015,0,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8DD8>,,1527979178.291,Foot,,,,105956.9609375,207827.5625,-253.12924194335935
1527979181.322,,145.62400007247925,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949DB00>,,0.0,,,1527979181.322,Foot,,,,106866.140625,208593.734375,-198.63999938964844
1527979191.295,,155.5970001220703,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1C50>,,0.0,,,1527979191.295,Foot,,,,110345.8359375,208946.578125,350.5199890136719
1527979201.323,,165.625,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6D30>,,0.0,,,1527979201.323,Foot,,,,110012.640625,209697.4375,163.37998962402344
1527979211.301,,175.60300016403198,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AADA0>,,0.0,,,1527979211.301,Foot,,,,112993.9765625,209415.21875,1461.419921875
1527979221.318,,185.62000012397766,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B0DD8>,,0.0,,,1527979221.318,Foot,,,,114593.1953125,204090.03125,2783.119873046875
