,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978984.755,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773CF278>,,0.0,,,1527978984.755,,,,562347.3125,128161.09375,25676.900390625
1527978994.729,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD4E0>,,0.0,,,1527978994.729,,,,562347.3125,128161.09375,25676.900390625
1527979004.727,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0A58>,,0.0,,,1527979004.727,,,,562347.3125,128161.09375,25676.900390625
1527979014.767,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499FD0>,,0.0,,,1527979014.767,,,,562347.3125,128161.09375,25676.900390625
1527979024.75,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470550>,,0.0,,,1527979024.75,,,,562347.3125,128161.09375,25676.900390625
1527979034.78,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FA20>,,0.0,,,1527979034.78,,,,562347.3125,128161.09375,25676.900390625
1527979035.795,,,,,,<itemEquip.itemEquip object at 0x000001B476E55358>,,,,,,,0.0,,,1527979035.795,,,,932243.625,638286.0625,150088.0
1527979035.7951,,,,,,,,,,,,,0.0,,,1527979035.7951,,,<vehicleRide.vehicleRide object at 0x000001B477873E10>,932243.625,638286.0625,150088.0
1527979035.796,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFC50>,,,,,,0.0,,,1527979035.796,,,,932243.625,638286.0625,150088.0
1527979045.275,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AEF0>,,0.0,,,1527979045.275,,,,820191.5625,581683.0625,150088.0
1527979055.261,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365400>,,0.0,,,1527979055.261,,,,692632.875,517246.8125,150088.0
1527979065.268,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774568D0>,,0.0,,,1527979065.268,,,,563618.25,452075.15625,150088.0
1527979075.266,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441DA0>,,0.0,,,1527979075.266,,,,435883.90625,387550.28125,150088.0
1527979076.12,,,,,,,,,,,,,0.0,,,1527979076.12,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB198>,,424484.21875,381791.71875,150088.0
1527979076.125,,,,,,,,,,,,,0.0,,,1527979076.125,,,<vehicleRide.vehicleRide object at 0x000001B477B6B780>,422993.875,382652.59375,150015.78125
1527979085.26,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779282B0>,,0.0,,,1527979085.26,,,,413723.875,364493.40625,103041.359375
1527979095.297,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D780>,,0.0,,,1527979095.297,,,,413848.375,346099.78125,43170.34765625
1527979105.274,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933C50>,,0.0,,,1527979105.274,,,,417773.09375,336474.125,10812.7919921875
1527979112.392,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0C88>,,,,,0.0,,,1527979112.392,,,,420137.375,328556.9375,834.8513793945312
1527979112.3920999,,,,,,,,,,,,,0.0,,,1527979112.3920999,,<vehicleLeave.vehicleLeave object at 0x000001B477807358>,,420137.375,328556.9375,834.8513793945312
1527979115.323,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779360F0>,,0.0,,,1527979115.323,,,,420191.84375,327929.125,714.760009765625
1527979121.958,,,,,,<itemEquip.itemEquip object at 0x000001B476E65588>,,,,,,,0.0,,,1527979121.958,,,,419099.0,326050.84375,714.760009765625
1527979121.9580998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA400>,,,,,,0.0,,,1527979121.9580998,,,,419099.0,326050.84375,714.760009765625
1527979125.348,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941630>,,0.0,,,1527979125.348,,,,419571.9375,324590.53125,714.75
1527979129.833,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D13128>,0.0,,,1527979129.833,,,,418225.03125,324529.125,666.9400024414062
1527979134.712,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D169B0>,0.0,,,1527979134.712,,,,417924.03125,326846.8125,676.469970703125
1527979135.168,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16B70>,0.0,,,1527979135.168,,,,417989.0625,327114.90625,676.469970703125
1527979135.315,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946AC8>,,0.0,,,1527979135.315,,,,418051.0625,327163.78125,676.469970703125
1527979142.548,,,,,,,<itemPickup.itemPickup object at 0x000001B47710A198>,,,,,,0.0,,,1527979142.548,,,,418284.625,330127.6875,727.2799682617188
1527979145.326,,106.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794CEF0>,,0.0,,,1527979145.326,,,,417765.0625,330405.21875,727.2799682617188
1527979155.27,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957278>,,0.0,,,1527979155.27,,,,417790.3125,330287.6875,727.2799682617188
1527979161.592,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1E470>,0.0,,,1527979161.592,,,,417962.625,330736.6875,1241.469970703125
1527979162.237,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519438>,,,,0.0,,,1527979162.237,,,,417975.78125,330851.875,1249.0499267578125
1527979162.879,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519588>,,,,0.0,,,1527979162.879,,,,418002.21875,330906.59375,1249.0499267578125
1527979163.272,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519AC8>,,,,0.0,,,1527979163.272,,,,418030.59375,330990.6875,1249.0499267578125
1527979163.561,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1EC50>,0.0,,,1527979163.561,,,,418034.1875,330977.15625,1249.0499267578125
1527979163.698,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519048>,,,,0.0,,,1527979163.698,,,,418043.34375,330980.0625,1249.0499267578125
1527979164.026,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F2E8>,,,,0.0,,,1527979164.026,,,,418097.78125,330952.90625,1249.0499267578125
1527979164.093,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1E048>,0.0,,,1527979164.093,,,,418122.59375,330933.5,1249.0499267578125
1527979165.321,,125.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A518>,,0.0,,,1527979165.321,,,,418182.9375,330912.625,1249.0499267578125
1527979166.083,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F4E0>,,,,0.0,,,1527979166.083,,,,418086.75,330831.78125,1249.0499267578125
1527979169.555,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F828>,,,,0.0,,,1527979169.555,,,,417965.71875,330782.375,1248.8699951171875
1527979170.613,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F8D0>,,,,0.0,,,1527979170.613,,,,418141.78125,330952.3125,1249.0499267578125
1527979171.343,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F978>,,,,0.0,,,1527979171.343,,,,418205.78125,330792.5,1264.3099365234375
1527979172.71,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751FAC8>,,,,0.0,,,1527979172.71,,,,418069.90625,330181.625,1409.659912109375
1527979173.864,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477523A20>,,,,0.0,,,1527979173.864,,,,418094.0,330028.0,1409.659912109375
1527979174.418,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477523B70>,,,,0.0,,,1527979174.418,,,,418079.34375,330005.53125,1409.659912109375
1527979175.282,,135.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960748>,,0.0,,,1527979175.282,,,,418108.71875,329735.59375,1409.659912109375
1527979176.041,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477523C18>,,,,0.0,,,1527979176.041,,,,418064.34375,329312.15625,1409.659912109375
1527979176.043,,,,,,,,,,<playerKill.playerKill object at 0x000001B476E37748>,,,0.0,,,1527979176.043,,,,418064.34375,329312.15625,1409.659912109375
1527979178.746,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D5C0>,,,,,,0.0,,,1527979178.746,,,,418082.90625,329164.6875,1409.659912109375
1527979179.145,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D780>,,,,,,0.0,,,1527979179.145,,,,418082.90625,329164.6875,1409.659912109375
1527979179.536,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D9B0>,,,,,,0.0,,,1527979179.536,,,,418082.90625,329164.6875,1409.659912109375
1527979179.954,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DB70>,,,,,,0.0,,,1527979179.954,,,,418082.90625,329164.6875,1409.659912109375
1527979180.549,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DE10>,,,,,,0.0,,,1527979180.549,,,,418082.90625,329164.6875,1409.659912109375
1527979180.854,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DF60>,,,,,,0.0,,,1527979180.854,,,,418082.90625,329164.6875,1409.659912109375
1527979181.644,,,,,,<itemEquip.itemEquip object at 0x000001B476E80EB8>,,,,,,,0.0,,,1527979181.644,,,,418082.90625,329164.6875,1409.659912109375
