,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978984.584,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B42B0>,,0.0,,,1527978984.584,,,,343423.1875,171377.8125,1453.429931640625
1527978994.589,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD3C8>,,0.0,,,1527978994.589,,,,340743.71875,172652.15625,1893.429931640625
1527979004.623,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0940>,,0.0,,,1527979004.623,,,,336377.5,175381.25,1683.3399658203125
1527979014.609,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499EB8>,,0.0,,,1527979014.609,,,,337079.34375,175995.390625,2076.35986328125
1527979024.585,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470438>,,0.0,,,1527979024.585,,,,337994.0625,176058.53125,2161.949951171875
1527979034.611,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F908>,,0.0,,,1527979034.611,,,,339072.34375,175337.796875,1689.3699951171875
1527979035.794,,,,,,<itemEquip.itemEquip object at 0x000001B476E55400>,,,,,,,0.0,,,1527979035.794,,,,932243.625,638286.0625,150088.0
1527979035.7940998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFBE0>,,,,,,0.0,,,1527979035.7940998,,,,932243.625,638286.0625,150088.0
1527979035.7942,,,,,,,,,,,,,0.0,,,1527979035.7942,,,<vehicleRide.vehicleRide object at 0x000001B477873DA0>,932243.625,638286.0625,150088.0
1527979045.107,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738ADD8>,,0.0,,,1527979045.107,,,,822067.1875,582630.5,150088.0
1527979055.129,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773652E8>,,0.0,,,1527979055.129,,,,694247.625,518062.59375,150088.0
1527979059.233,,,,,,,,,,,,,0.0,,,1527979059.233,,<vehicleLeave.vehicleLeave object at 0x000001B476F90CF8>,,642883.875,492116.21875,150088.0
1527979059.239,,,,,,,,,,,,,0.0,,,1527979059.239,,,<vehicleRide.vehicleRide object at 0x000001B477B60470>,641410.75,493136.625,150015.78125
1527979065.127,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774567B8>,,0.0,,,1527979065.127,,,,631368.125,487997.25,121723.859375
1527979075.152,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441C88>,,0.0,,,1527979075.152,,,,624535.6875,486609.96875,62381.43359375
1527979085.131,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F080>,,0.0,,,1527979085.131,,,,617279.6875,482595.25,16951.978515625
1527979095.125,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D668>,,0.0,,,1527979095.125,,,,606049.3125,480333.40625,1336.4248046875
1527979096.129,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FA5EB8>,,,,,0.0,,,1527979096.129,,,,606464.125,479748.75,499.1454772949219
1527979096.1290998,,,,,,,,,,,,,0.0,,,1527979096.1290998,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6518>,,606464.125,479748.75,499.1454772949219
1527979105.173,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933B38>,,0.0,,,1527979105.173,,,,604728.4375,481924.625,331.1499938964844
1527979107.12,,,,,,,,,,,,,0.0,,,1527979107.12,,,<vehicleRide.vehicleRide object at 0x000001B477B7BA90>,604814.75,481701.90625,380.30120849609375
1527979114.903,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B47774EE10>,0.0,,,1527979114.903,,,,599205.125,481592.9375,408.5639343261719
1527979115.184,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936198>,,0.0,,,1527979115.184,,,,598781.75,481415.15625,410.2404174804687
1527979125.179,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941518>,,0.0,,,1527979125.179,,,,591251.75,469712.09375,378.0194396972656
1527979125.265,,,,,,,,,,,,,0.0,,,1527979125.265,,<vehicleLeave.vehicleLeave object at 0x000001B477807128>,,591251.625,469711.71875,377.5421752929687
1527979135.135,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779469E8>,,0.0,,,1527979135.135,,,,591994.3125,471978.375,359.9599914550781
1527979135.878,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16C50>,0.0,,,1527979135.878,,,,592152.3125,471977.0,359.9599914550781
1527979136.454,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16D30>,0.0,,,1527979136.454,,,,592096.25,471975.78125,359.9599914550781
1527979145.15,,106.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794CE10>,,0.0,,,1527979145.15,,,,592096.25,471975.78125,359.9599914550781
