,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978956.397,,-79.30099987983704,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D95C88>,,0.0,,,1527978956.397,Foot,,,,796247.25,19704.099609375,528.5
1527978966.442,,-69.25600004196167,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA1198>,,0.0,,,1527978966.442,Foot,,,,796247.25,19704.099609375,528.5
1527978976.404,,-59.293999910354614,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCFFD0>,,0.0,,,1527978976.404,Foot,,,,796247.25,19704.099609375,528.5
1527978986.414,,-49.28399991989136,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008EC68D0>,,0.0,,,1527978986.414,Foot,,,,796247.25,19704.099609375,528.5
1527978996.394,,-39.30399990081787,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D438>,,0.0,,,1527978996.394,Foot,,,,796247.25,19704.099609375,528.5
1527979006.399,,-29.299000024795532,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094309B0>,,0.0,,,1527979006.399,Foot,,,,796247.25,19704.099609375,528.5
1527979016.419,,-19.27900004386902,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436F28>,,0.0,,,1527979016.419,Foot,,,,796247.25,19704.099609375,528.5
1527979021.108,,-14.589999914169312,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56278>,,,,0.0,,,1527979021.108,Foot,,,,796196.125,19713.798828125,528.5
1527979026.406,,-9.29200005531311,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F4A8>,,0.0,,,1527979026.406,Foot,,,,795876.9375,17670.9296875,528.5299682617188
1527979035.721,,0.023000001907348633,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6A90>,,,,,,,0.0,,,1527979035.721,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7210999,,0.023099899291992188,1,,,,,,,,,,,,0.0,,,1527979035.7210999,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343630>,932243.625,638286.0625,150088.0
