,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978985.237,,-50.460999965667725,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008E8E588>,,0.0,,,1527978985.237,Foot,,,,562229.5625,129558.4609375,25676.87890625
1527978995.268,,-40.4300000667572,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAFD0>,,0.0,,,1527978995.268,Foot,,,,562229.5625,129558.4609375,25676.87890625
1527979005.252,,-30.44599986076355,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430588>,,0.0,,,1527979005.252,Foot,,,,562257.5625,129550.2265625,25676.87890625
1527979015.275,,-20.4229998588562,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436B00>,,0.0,,,1527979015.275,Foot,,,,562390.75,129659.46875,25676.87890625
1527979025.254,,-10.444000005722046,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B1D0>,,0.0,,,1527979025.254,Foot,,,,562470.75,129749.9765625,25676.87890625
1527979035.268,,-0.43000006675720215,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444550>,,0.0,,,1527979035.268,Foot,,,,562462.4375,129761.4765625,25676.87890625
1527979035.797,,0.0989999771118164,1,,,,,<itemEquip.itemEquip object at 0x00000160088DBF98>,,,,,,,0.0,,,1527979035.797,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7970998,,0.09909987449645996,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B59748>,,,,,,0.0,,,1527979035.7970998,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7972,,0.09920001029968262,1,,,,,,,,,,,,0.0,,,1527979035.7972,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x000001600925C860>,932243.625,638286.0625,150088.0
1527979045.774,,10.075999975204468,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944AA20>,,0.0,,,1527979045.774,DummyTransportAircraft_C,,,,814534.1875,578825.1875,150088.015625
1527979055.766,,20.068000078201294,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FEF0>,,0.0,,,1527979055.766,DummyTransportAircraft_C,,,,686487.5625,514142.5625,150088.0
1527979065.785,,30.087000131607056,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459400>,,0.0,,,1527979065.785,DummyTransportAircraft_C,,,,557116.5625,448790.875,150088.0
1527979074.727,,39.02900004386902,1,,,,,,,,,,,,0.0,,,1527979074.727,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2748>,,442555.75,390920.5625,150088.0
1527979074.731,,39.032999992370605,1,,,,,,,,,,,,0.0,,,1527979074.731,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928DE80>,440467.03125,390977.15625,150015.78125
1527979075.775,,40.0770001411438,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D8D0>,,0.0,,,1527979075.775,ParachutePlayer_C,,,,438119.96875,389791.53125,149408.09375
1527979085.766,,50.068000078201294,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461DA0>,,0.0,,,1527979085.766,ParachutePlayer_C,,,,422581.40625,389769.59375,105999.25
1527979095.808,,60.110000133514404,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B2B0>,,0.0,,,1527979095.808,ParachutePlayer_C,,,,409474.6875,395089.78125,52587.76171875
1527979105.827,,70.12899994850159,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470780>,,0.0,,,1527979105.827,ParachutePlayer_C,,,,398893.75,397713.59375,19765.556640625
1527979115.852,,80.15400004386902,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473C50>,,0.0,,,1527979115.852,ParachutePlayer_C,,,,391370.28125,399329.21875,13442.9462890625
1527979125.8,,90.10199999809265,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B0B8>,,0.0,,,1527979125.8,ParachutePlayer_C,,,,382909.15625,402175.5625,6591.06494140625
1527979128.775,,93.0770001411438,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A47208>,,,,,0.0,,,1527979128.775,ParachutePlayer_C,,,,380644.34375,401684.75,3933.295166015625
1527979128.776,,93.07800006866455,0,,,,,,,,,,,,0.0,,,1527979128.776,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092B5C18>,,380644.34375,401684.75,3933.295166015625
1527979135.838,,100.14000010490417,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094845F8>,,0.0,,,1527979135.838,Foot,,,,377677.65625,401219.625,3791.369873046875
1527979145.791,,110.09299993515015,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094889B0>,,0.0,,,1527979145.791,Foot,,,,373948.71875,400847.34375,3798.349853515625
1527979155.328,,119.63000011444092,0,Item_Attach_Weapon_Upper_Holosight_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA65F8>,,,,,,0.0,,,1527979155.328,Foot,,,,373025.4375,400499.625,3827.14990234375
1527979155.801,,120.10300016403198,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948ECF8>,,0.0,,,1527979155.801,Foot,,,,373025.4375,400499.625,3827.14990234375
1527979165.799,,130.1010000705719,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493F60>,,0.0,,,1527979165.799,Foot,,,,372616.78125,400418.4375,4001.599853515625
1527979175.792,,140.09400010108948,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496080>,,0.0,,,1527979175.792,Foot,,,,373584.0625,400472.15625,4177.14990234375
1527979185.816,,150.11800003051758,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1358>,,0.0,,,1527979185.816,Foot,,,,373726.0625,399262.625,3798.93994140625
1527979190.63,,154.93200016021729,0,,,,,<itemEquip.itemEquip object at 0x000001600890F3C8>,,,,,,,0.0,,,1527979190.63,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979190.631,,154.93300008773804,0,Item_Weapon_UZI_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD0F98>,,,,,,0.0,,,1527979190.631,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979191.429,,155.73099994659424,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD54A8>,,,,,,0.0,,,1527979191.429,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979191.946,,156.2480001449585,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD5828>,,,,,,0.0,,,1527979191.946,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979192.343,,156.6449999809265,0,Item_Attach_Weapon_Lower_AngledForeGrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD5A58>,,,,,,0.0,,,1527979192.343,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979193.07,,157.37199997901917,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD5D68>,,,,,,0.0,,,1527979193.07,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979193.667,,157.96900010108948,0,Item_Attach_Weapon_Muzzle_FlashHider_Medium_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD50B8>,,,,,,0.0,,,1527979193.667,Foot,,,,373379.40625,399357.625,3820.14990234375
1527979195.783,,160.08500003814697,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A64A8>,,0.0,,,1527979195.783,Foot,,,,372901.4375,399133.59375,3820.14990234375
1527979205.794,,170.09599995613098,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AA518>,,0.0,,,1527979205.794,Foot,,,,372743.78125,399020.0,3820.14990234375
1527979215.524,,179.82599997520447,0,,,,,<itemEquip.itemEquip object at 0x00000160089185F8>,,,,,,,0.0,,,1527979215.524,Foot,,,,373055.875,399451.625,4170.14990234375
1527979215.525,,179.8270001411438,0,Item_Head_E_02_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008BF45F8>,,,,,,0.0,,,1527979215.525,Foot,,,,373055.875,399451.625,4170.14990234375
1527979215.789,,180.09100008010864,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B0588>,,0.0,,,1527979215.789,Foot,,,,373055.875,399451.625,4170.14990234375
1527979225.833,,190.13499999046326,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B5550>,,0.0,,,1527979225.833,Foot,,,,372484.625,398794.71875,3831.619873046875
1527979235.772,,200.07400012016296,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B84A8>,,0.0,,,1527979235.772,Foot,,,,374101.21875,398646.1875,3800.33984375
1527979245.779,,210.08100008964539,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094BF358>,,0.0,,,1527979245.779,Foot,,,,373115.28125,402185.90625,3795.599853515625
1527979255.795,,220.0970001220703,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094C3208>,,0.0,,,1527979255.795,Foot,,,,373128.34375,403314.1875,4251.14990234375
1527979256.702,,221.0039999485016,0,,,,,<itemEquip.itemEquip object at 0x00000160089227B8>,,,,,,,0.0,,,1527979256.702,Foot,,,,373126.59375,403203.0,4251.14990234375
1527979256.7020998,,221.00409984588623,0,Item_Back_C_02_Lv3_C,,,,,<itemPickup.itemPickup object at 0x0000016008C1D4A8>,,,,,,0.0,,,1527979256.7020998,Foot,,,,373126.59375,403203.0,4251.14990234375
1527979261.61,,225.9119999408722,0,,,,,<itemEquip.itemEquip object at 0x0000016008922B38>,,,,,,,0.0,,,1527979261.61,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979261.6100998,,225.91209983825684,0,Item_Weapon_Vector_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21588>,,,,,,0.0,,,1527979261.6100998,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979262.148,,226.45000004768372,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21668>,,,,,,0.0,,,1527979262.148,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979262.469,,226.77100014686584,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008C217B8>,,,,,,0.0,,,1527979262.469,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.355,,227.65700006484985,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21B38>,,,,,,0.0,,,1527979263.355,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.356,,227.6579999923706,0,,,,<itemDrop.itemDrop object at 0x0000016008825160>,,,,,,,,0.0,,,1527979263.356,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.3560998,,227.65809988975525,0,,,,,<itemEquip.itemEquip object at 0x0000016008922CF8>,,,,,,,0.0,,,1527979263.3560998,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.3562,,227.65820002555847,0,Item_Weapon_Vector_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21BA8>,,,,,,0.0,,,1527979263.3562,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.3562999,,227.65829992294312,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A78908>,,,,,0.0,,,1527979263.3562999,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979263.82,,228.12199997901917,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21D68>,,,,,,0.0,,,1527979263.82,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979264.286,,228.5880000591278,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008C21F98>,,,,,,0.0,,,1527979264.286,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979265.006,,229.30800008773804,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008C262E8>,,,,,,0.0,,,1527979265.006,Foot,,,,372985.1875,402629.5625,4251.14990234375
1527979265.769,,230.07100009918213,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094C31D0>,,0.0,,,1527979265.769,Foot,,,,372896.46875,402771.4375,4251.14990234375
1527979275.792,,240.09400010108948,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094C8EB8>,,0.0,,,1527979275.792,Foot,,,,373098.5,403392.40625,4251.14990234375
1527979285.792,,250.09400010108948,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094CCCC0>,,0.0,,,1527979285.792,Foot,,,,373098.5,403392.40625,4251.14990234375
1527979295.814,,260.1159999370575,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094D3A90>,,0.0,,,1527979295.814,Foot,,,,373098.5,403392.40625,4251.14990234375
1527979305.784,,270.0859999656677,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094D7828>,,0.0,,,1527979305.784,Foot,,,,372763.40625,403817.625,3851.14990234375
1527979315.792,,280.0940001010895,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094DA5C0>,,0.0,,,1527979315.792,Foot,,,,370167.46875,401495.4375,3781.289794921875
1527979325.803,,290.1050000190735,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094E1320>,,0.0,,,1527979325.803,Foot,,,,365222.34375,401947.90625,3765.93994140625
1527979335.807,,300.1089999675751,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094E11D0>,,0.0,,,1527979335.807,Foot,,,,363036.125,404564.78125,3774.260009765625
1527979345.787,,310.08899998664856,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094E5D30>,,0.0,,,1527979345.787,Foot,,,,363491.0,404834.03125,3778.6298828125
1527979355.772,,320.07400012016296,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094EAA20>,,0.0,,,1527979355.772,Foot,,,,359460.625,405423.46875,3775.309814453125
1527979365.78,,330.08200001716614,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094EE6D8>,,0.0,,,1527979365.78,Foot,,,,357276.625,408206.5625,3789.18994140625
1527979375.812,,340.114000082016,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094F5358>,,0.0,,,1527979375.812,Foot,,,,362229.5625,410754.625,3793.1298828125
1527979385.185,,349.4869999885559,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001600987A7F0>,0.0,,,1527979385.185,Foot,,,,365633.5,407018.90625,3790.280029296875
1527979385.222,,349.5239999294281,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001600987A8D0>,0.0,,,1527979385.222,Foot,,,,365630.71875,406987.625,3790.31982421875
1527979385.752,,350.05400013923645,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001600987A9B0>,0.0,,,1527979385.752,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979385.772,,350.07400012016296,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094F5F98>,,0.0,,,1527979385.772,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979395.791,,360.09299993515015,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094F9C18>,,0.0,,,1527979395.791,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979405.799,,370.1010000705719,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094FD898>,,0.0,,,1527979405.799,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979415.773,,380.0750000476837,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160095034E0>,,0.0,,,1527979415.773,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979425.772,,390.07400012016296,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009503160>,,0.0,,,1527979425.772,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979445.782,,410.0840001106262,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008AAA2B0>,,,,,0.0,,,1527979445.782,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979445.7821,,410.08410000801086,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008AAA1D0>,,,,,0.0,,,1527979445.7821,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979445.7822,,410.0842001438141,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008AAA0B8>,,,,,0.0,,,1527979445.7822,Foot,,,,365558.5625,406753.03125,3789.3798828125
1527979445.7823,,410.08430004119873,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008AAF2E8>,,,,,0.0,,,1527979445.7823,Foot,,,,365558.5625,406753.03125,3789.3798828125
