,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.906,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9E9BEB8>,,,,1527978954.906,,,,796148.4375,18058.099609375,528.5299682617188
1527978964.879,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EA8BE0>,,,,1527978964.879,,,,796148.4375,18058.099609375,528.5299682617188
1527978974.907,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9ECE470>,,,,1527978974.907,,,,796148.4375,18058.099609375,528.5299682617188
1527978984.945,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9F5C5C0>,,,,1527978984.945,,,,796148.4375,18058.099609375,528.5299682617188
1527978994.894,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7470>,,,,1527978994.894,,,,796148.4375,18058.099609375,528.5299682617188
1527979004.893,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4CBA20>,,,,1527979004.893,,,,796148.4375,18058.099609375,528.5299682617188
1527979014.904,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D1F28>,,,,1527979014.904,,,,796148.4375,18058.099609375,528.5299682617188
1527979024.883,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DA518>,,,,1527979024.883,,,,796148.4375,18058.099609375,528.5299682617188
1527979034.93,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DF978>,,,,1527979034.93,,,,796148.4375,18058.099609375,528.5299682617188
1527979035.812,,,,,<itemEquip.itemEquip object at 0x00000184B99BF710>,,,,,,,,,1527979035.812,,,,932243.625,638286.0625,150088.0
1527979035.8121,,,,,,<itemPickup.itemPickup object at 0x00000184B9C38EB8>,,,,,,,,1527979035.8121,,,,932243.625,638286.0625,150088.0
1527979035.8122,,,,,,,,,,,,,,1527979035.8122,,,<vehicleRide.vehicleRide object at 0x00000184BA3AD0F0>,932243.625,638286.0625,150088.0
1527979045.442,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5E48>,,,,1527979045.442,,,,818314.6875,580734.9375,150088.0
1527979055.414,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4ED3C8>,,,,1527979055.414,,,,690778.8125,516310.28125,150088.0
1527979062.182,,,,,,,,,,,,,,1527979062.182,,<vehicleLeave.vehicleLeave object at 0x00000184BA7AA240>,,604976.5,472967.25,150088.0
1527979062.19,,,,,,,,,,,,,,1527979062.19,,,<vehicleRide.vehicleRide object at 0x00000184BA2E4978>,604765.125,472421.84375,150015.78125
1527979065.419,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2860>,,,,1527979065.419,,,,599255.5,469638.4375,136055.125
1527979075.424,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6D68>,,,,1527979075.424,,,,598292.0625,469244.15625,71112.6953125
1527979085.482,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA500048>,,,,1527979085.482,,,,598733.625,469988.53125,16429.58203125
1527979095.45,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA506748>,,,,1527979095.45,,,,603828.5625,481941.5,1949.74365234375
1527979097.249,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B0FEB8>,,,,,,,1527979097.249,,,,604224.9375,483165.03125,471.5347595214844
1527979097.2491,,,,,,,,,,,,,,1527979097.2491,,<vehicleLeave.vehicleLeave object at 0x00000184BA7E4470>,,604224.9375,483165.03125,471.5347595214844
1527979105.432,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50ABA8>,,,,1527979105.432,,,,604136.75,481311.34375,354.1499938964844
1527979106.445,,,,,<itemEquip.itemEquip object at 0x00000184B99C50B8>,,,,,,,,,1527979106.445,,,,604353.25,481036.90625,354.1499938964844
1527979106.4450998,,,,,,<itemPickup.itemPickup object at 0x00000184B9C40198>,,,,,,,,1527979106.4450998,,,,604353.25,481036.90625,354.1499938964844
1527979112.976,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44E48>,,,,,,,,1527979112.976,,,,604139.4375,481214.28125,704.1499633789062
1527979115.474,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50F160>,,,,1527979115.474,,,,603737.3125,481194.4375,704.1499633789062
1527979119.947,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B200B8>,,,,,,,1527979119.947,,,,603552.1875,481072.59375,704.1499633789062
1527979119.9471,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA069518>,,,,,,1527979119.9471,,,,603552.1875,481072.59375,704.1499633789062
1527979125.506,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519588>,,,,1527979125.506,,,,603410.9375,481040.84375,704.1499633789062
1527979135.453,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA51EA58>,,,,1527979135.453,,,,601654.125,479760.65625,387.8500061035156
1527979138.603,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F0048>,,,1527979138.603,,,,601471.375,478721.34375,394.9299926757813
1527979138.803,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F3160>,,,1527979138.803,,,,601424.4375,478731.59375,394.97998046875
1527979138.934,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F3198>,,,1527979138.934,,,,601393.5625,478733.28125,394.97998046875
