,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.388,,-80.30999994277954,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D92E48>,,0.0,,,1527978955.388,Foot,,,,562331.5,129519.59375,25676.87890625
1527978965.429,,-70.26900005340576,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D9C128>,,0.0,,,1527978965.429,Foot,,,,562331.5,129519.59375,25676.87890625
1527978975.411,,-60.28699994087219,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DC39E8>,,0.0,,,1527978975.411,Foot,,,,562331.5,129519.59375,25676.87890625
1527978985.424,,-50.2739999294281,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DFC048>,,0.0,,,1527978985.424,Foot,,,,562331.5,129519.59375,25676.87890625
1527978995.41,,-40.287999868392944,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA160>,,0.0,,,1527978995.41,Foot,,,,562331.5,129519.59375,25676.87890625
1527979005.429,,-30.26900005340576,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430668>,,0.0,,,1527979005.429,Foot,,,,562331.5,129519.59375,25676.87890625
1527979015.475,,-20.223000049591064,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436BE0>,,0.0,,,1527979015.475,Foot,,,,562331.5,129519.59375,25676.87890625
1527979025.403,,-10.294999837875366,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B0F0>,,0.0,,,1527979025.403,Foot,,,,562331.5,129519.59375,25676.87890625
1527979035.425,,-0.27300000190734863,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444630>,,0.0,,,1527979035.425,Foot,,,,562331.5,129519.59375,25676.87890625
1527979035.714,,0.016000032424926758,1,,,,,,,,,,,,0.0,,,1527979035.714,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343470>,932243.625,638286.0625,150088.0
1527979035.715,,0.01699995994567871,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6860>,,,,,,,0.0,,,1527979035.715,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979035.7150998,,0.017099857330322266,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56358>,,,,,,0.0,,,1527979035.7150998,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979045.941,,10.243000030517578,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944AB00>,,0.0,,,1527979045.941,DummyTransportAircraft_C,,,,812608.625,577852.5,150088.0
1527979055.968,,20.269999980926514,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FFD0>,,0.0,,,1527979055.968,DummyTransportAircraft_C,,,,684208.4375,512991.28125,150088.0
1527979065.946,,30.248000144958496,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094594E0>,,0.0,,,1527979065.946,DummyTransportAircraft_C,,,,555080.6875,447762.46875,150088.0
1527979075.932,,40.23399996757507,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D9B0>,,0.0,,,1527979075.932,DummyTransportAircraft_C,,,,427188.03125,383157.59375,150088.0
1527979085.96,,50.26200008392334,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461E80>,,0.0,,,1527979085.96,DummyTransportAircraft_C,,,,298178.1875,317988.34375,150088.0
1527979095.963,,60.265000104904175,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B390>,,0.0,,,1527979095.963,DummyTransportAircraft_C,,,,168527.90625,252495.59375,150088.0
1527979101.308,,65.6100001335144,1,,,,,,,,,,,,0.0,,,1527979101.308,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929D278>,,100005.453125,217881.515625,150088.0
1527979101.311,,65.61300015449524,1,,,,,,,,,,,,0.0,,,1527979101.311,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x00000160096AB240>,101900.2734375,218433.1875,150015.78125
1527979105.97,,70.2720000743866,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470860>,,0.0,,,1527979105.97,ParachutePlayer_C,,,,95570.1328125,215235.609375,138785.125
1527979116.001,,80.30299997329712,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473D30>,,0.0,,,1527979116.001,ParachutePlayer_C,,,,95489.15625,215194.703125,88711.1015625
1527979125.979,,90.2810001373291,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F240>,,0.0,,,1527979125.979,ParachutePlayer_C,,,,95489.15625,215194.703125,38792.08203125
1527979136.009,,100.31100010871887,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094846D8>,,0.0,,,1527979136.009,ParachutePlayer_C,,,,95986.03125,215194.703125,9928.572265625
1527979145.959,,110.26100015640259,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488A90>,,0.0,,,1527979145.959,ParachutePlayer_C,,,,104071.4375,215194.703125,3894.302490234375
1527979155.553,,119.85500001907349,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A57550>,,,,,0.0,,,1527979155.553,ParachutePlayer_C,,,,108254.90625,215194.703125,-54.37652587890625
1527979155.5530999,,119.85509991645813,0,,,,,,,,,,,,0.0,,,1527979155.5530999,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092DE748>,,108254.90625,215194.703125,-54.37652587890625
1527979155.949,,120.25099992752075,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948EDD8>,,0.0,,,1527979155.949,Foot,,,,108254.90625,215194.703125,7.62347412109375
1527979165.976,,130.27800011634827,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094931D0>,,0.0,,,1527979165.976,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
1527979172.685,,136.9869999885559,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001600985F8D0>,0.0,,,1527979172.685,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
1527979173.67,,137.9720001220703,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009863470>,0.0,,,1527979173.67,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
1527979174.684,,138.98600006103516,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009863710>,0.0,,,1527979174.684,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
1527979175.683,,139.9850001335144,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098637F0>,0.0,,,1527979175.683,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
1527979175.944,,140.2460000514984,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D2B0>,,0.0,,,1527979175.944,Foot,,,,108272.6953125,215194.703125,-637.8787841796875
