,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978957.781,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477334940>,,0.0,,,1527978957.781,,,,344487.34375,170640.28125,1453.429931640625
1527978967.765,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477343F60>,,0.0,,,1527978967.765,,,,344487.34375,170640.28125,1453.429931640625
1527978977.831,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477370E10>,,0.0,,,1527978977.831,,,,347720.78125,171140.21875,1994.679931640625
1527978987.823,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477465A58>,,0.0,,,1527978987.823,,,,345256.21875,175080.75,1497.0799560546875
1527978997.818,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDD30>,,0.0,,,1527978997.818,,,,340214.15625,176057.03125,2122.530029296875
1527979007.789,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774992E8>,,0.0,,,1527979007.789,,,,337899.84375,173956.453125,1684.7099609375
1527979017.792,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480860>,,0.0,,,1527979017.792,,,,334679.5,173201.609375,1833.6400146484375
1527979027.77,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470DA0>,,0.0,,,1527979027.77,,,,334707.90625,172648.921875,1683.1199951171875
1527979035.829,,,,,,<itemEquip.itemEquip object at 0x000001B476E55C88>,,,,,,,0.0,,,1527979035.829,,,,932243.625,638286.0625,150088.0
1527979035.8291,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2400>,,,,,,0.0,,,1527979035.8291,,,,932243.625,638286.0625,150088.0
1527979035.8292,,,,,,,,,,,,,0.0,,,1527979035.8292,,,<vehicleRide.vehicleRide object at 0x000001B47788F5C0>,932243.625,638286.0625,150088.0
1527979038.315,,2.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A2B0>,,0.0,,,1527979038.315,,,,912291.625,628207.3125,150088.0
1527979048.312,,12.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E780>,,0.0,,,1527979048.312,,,,784142.6875,563472.9375,150088.0
1527979058.314,,22.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365C50>,,0.0,,,1527979058.314,,,,654637.0,498053.28125,150088.0
1527979068.321,,32.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774560F0>,,0.0,,,1527979068.321,,,,524951.625,432542.78125,150088.0
1527979077.6,,,,,,,,,,,,,0.0,,,1527979077.6,,<vehicleLeave.vehicleLeave object at 0x000001B4777D24A8>,,406032.1875,372470.71875,150088.0
1527979077.604,,,,,,,,,,,,,0.0,,,1527979077.604,,,<vehicleRide.vehicleRide object at 0x000001B477B6BBE0>,405745.875,370762.84375,150015.78125
1527979078.36,,42.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F630>,,0.0,,,1527979078.36,,,,403882.34375,369384.71875,149093.546875
1527979088.342,,51.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928B00>,,0.0,,,1527979088.342,,,,403687.6875,343732.5625,98948.2734375
