,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978960.978,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773344E0>,,0.0,,,1527978960.978,,,,798027.125,19996.5,528.5
1527978970.992,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47734BEF0>,,0.0,,,1527978970.992,,,,798027.125,19996.5,528.5
1527978981.044,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737AAC8>,,0.0,,,1527978981.044,,,,798027.125,19996.5,528.5
1527978990.98,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744C18>,,0.0,,,1527978990.98,,,,798027.125,19996.5,528.5
1527979001.032,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD080>,,0.0,,,1527979001.032,,,,798027.125,19996.5,528.5
1527979010.982,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499780>,,0.0,,,1527979010.982,,,,798027.125,19996.5,528.5
1527979020.984,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480CC0>,,0.0,,,1527979020.984,,,,798027.125,19996.5,528.5
1527979030.986,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F240>,,0.0,,,1527979030.986,,,,798027.125,19996.5,528.5
1527979035.835,,,,,,<itemEquip.itemEquip object at 0x000001B476E55DD8>,,,,,,,0.0,,,1527979035.835,,,,932243.625,638286.0625,150088.0
1527979035.8351,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2550>,,,,,,0.0,,,1527979035.8351,,,,932243.625,638286.0625,150088.0
1527979035.8352,,,,,,,,,,,,,0.0,,,1527979035.8352,,,<vehicleRide.vehicleRide object at 0x000001B47788F710>,932243.625,638286.0625,150088.0
1527979041.527,,6.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A710>,,0.0,,,1527979041.527,,,,872749.5625,608232.625,150088.0
1527979051.523,,15.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EBE0>,,0.0,,,1527979051.523,,,,742073.9375,542221.9375,150088.0
1527979059.636,,,,,,,,,,,,,0.0,,,1527979059.636,,<vehicleLeave.vehicleLeave object at 0x000001B476F90DD8>,,637708.9375,489502.03125,150088.0
1527979059.642,,,,,,,,,,,,,0.0,,,1527979059.642,,,<vehicleRide.vehicleRide object at 0x000001B477B60550>,636909.5625,488605.71875,150015.78125
1527979061.56,,25.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365160>,,0.0,,,1527979061.56,,,,630964.375,487066.34375,145875.28125
1527979071.535,,35.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774415C0>,,0.0,,,1527979071.535,,,,603111.4375,506787.84375,110946.265625
1527979081.553,,45.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FA90>,,0.0,,,1527979081.553,,,,581779.1875,534438.8125,75905.6640625
1527979091.556,,54.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928F60>,,0.0,,,1527979091.556,,,,563336.6875,564082.4375,40909.94140625
1527979101.522,,64.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933470>,,0.0,,,1527979101.522,,,,552423.875,583049.3125,19172.525390625
1527979111.543,,74.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936940>,,0.0,,,1527979111.543,,,,541535.375,596127.5625,5600.0126953125
1527979118.852,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB9358>,,,,,0.0,,,1527979118.852,,,,538341.5,600962.8125,1769.92138671875
1527979118.8521,,,,,,,,,,,,,0.0,,,1527979118.8521,,<vehicleLeave.vehicleLeave object at 0x000001B477807C88>,,538341.5,600962.8125,1769.92138671875
1527979121.541,,83.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CE10>,,0.0,,,1527979121.541,,,,537856.8125,601717.5625,1492.27001953125
1527979126.353,,,,,,,,,,,,,0.0,,,1527979126.353,,,<vehicleRide.vehicleRide object at 0x000001B477B7BBE0>,536251.375,604119.5625,1588.8358154296875
1527979131.561,,93.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946320>,,0.0,,,1527979131.561,,,,532426.0,606335.0,1758.7874755859375
1527979141.624,,102.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C748>,,0.0,,,1527979141.624,,,,511578.6875,627838.25,805.3135375976562
1527979149.935,,,,,,,,,,,,,0.0,,,1527979149.935,,<vehicleLeave.vehicleLeave object at 0x000001B477BEAB38>,,496810.09375,644277.875,58.021183013916016
1527979151.638,,,,,,,,,,,,,0.0,,,1527979151.638,,,<vehicleRide.vehicleRide object at 0x000001B477B7BC50>,496597.28125,644495.125,58.62699890136719
