,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.706,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9E9BBA8>,,,,1527978954.706,,,,343729.4375,170764.796875,1468.449951171875
1527978964.706,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EA6128>,,,,1527978964.706,,,,343729.4375,170764.796875,1468.449951171875
1527978974.731,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9ECE8D0>,,,,1527978974.731,,,,343729.4375,170764.796875,1468.449951171875
1527978984.686,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9F3B160>,,,,1527978984.686,,,,343729.4375,170764.796875,1468.449951171875
1527978994.69,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7390>,,,,1527978994.69,,,,343729.4375,170764.796875,1468.449951171875
1527979004.696,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4CB908>,,,,1527979004.696,,,,343729.4375,170764.796875,1468.449951171875
1527979014.719,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D1E48>,,,,1527979014.719,,,,343729.4375,170764.796875,1468.449951171875
1527979024.684,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DA400>,,,,1527979024.684,,,,343729.4375,170764.796875,1468.449951171875
1527979034.711,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DF8D0>,,,,1527979034.711,,,,343729.4375,170764.796875,1468.449951171875
1527979035.808,,,,,<itemEquip.itemEquip object at 0x00000184B99BF6A0>,,,,,,,,,1527979035.808,,,,932243.625,638286.0625,150088.0
1527979035.8081,,,,,,<itemPickup.itemPickup object at 0x00000184B9C38E48>,,,,,,,,1527979035.8081,,,,932243.625,638286.0625,150088.0
1527979035.8082001,,,,,,,,,,,,,,1527979035.8082001,,,<vehicleRide.vehicleRide object at 0x00000184BA3AD128>,932243.625,638286.0625,150088.0
1527979045.241,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5DA0>,,,,1527979045.241,,,,820574.4375,581876.4375,150088.0
1527979055.228,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4ED278>,,,,1527979055.228,,,,693036.5625,517450.78125,150088.0
1527979065.226,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2748>,,,,1527979065.226,,,,564033.6875,452285.03125,150088.0
1527979065.261,,,,,,,,,,,,,,1527979065.261,,<vehicleLeave.vehicleLeave object at 0x00000184BA7AA550>,,563618.25,452075.1875,150088.0
1527979065.267,,,,,,,,,,,,,,1527979065.267,,,<vehicleRide.vehicleRide object at 0x00000184BA2E4C88>,562392.75,452922.125,150015.78125
1527979075.266,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6C50>,,,,1527979075.266,,,,550617.3125,429876.125,101832.21875
1527979085.26,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FB0B8>,,,,1527979085.26,,,,552833.9375,407159.625,47960.58984375
1527979095.296,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5065F8>,,,,1527979095.296,,,,555827.25,400099.0,12139.291015625
1527979103.416,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B14630>,,,,,,,1527979103.416,,,,560998.1875,389881.59375,2342.665283203125
1527979103.4160998,,,,,,,,,,,,,,1527979103.4160998,,<vehicleLeave.vehicleLeave object at 0x00000184BA7E49B0>,,560998.1875,389881.59375,2342.665283203125
1527979105.274,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50AAC8>,,,,1527979105.274,,,,561356.8125,389312.4375,2208.699951171875
1527979115.259,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50FF98>,,,,1527979115.259,,,,562883.75,384198.0,723.6300048828125
1527979119.747,,,,,<itemEquip.itemEquip object at 0x00000184B99C9E80>,,,,,,,,,1527979119.747,,,,563599.5,384041.0,761.3399658203125
1527979119.7470999,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F438>,,,,,,,,1527979119.7470999,,,,563599.5,384041.0,761.3399658203125
1527979119.999,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F748>,,,,,,,,1527979119.999,,,,563603.3125,384042.875,761.3399658203125
1527979120.244,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F908>,,,,,,,,1527979120.244,,,,563603.3125,384042.875,761.3399658203125
1527979120.731,,,,,<itemEquip.itemEquip object at 0x00000184B99CE2B0>,,,,,,,,,1527979120.731,,,,563603.3125,384042.875,761.3399658203125
1527979120.7310998,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4FCF8>,,,,,,,,1527979120.7310998,,,,563603.3125,384042.875,761.3399658203125
1527979125.268,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5194A8>,,,,1527979125.268,,,,563919.375,385201.15625,729.6300048828125
1527979125.769,,,,,,<itemPickup.itemPickup object at 0x00000184B9C577B8>,,,,,,,,1527979125.769,,,,563901.5625,385279.15625,729.6199951171875
1527979127.509,,,,,<itemEquip.itemEquip object at 0x00000184B99D3240>,,,,,,,,,1527979127.509,,,,563699.5625,385647.78125,729.6300048828125
1527979127.5091,,,,,,<itemPickup.itemPickup object at 0x00000184B96DA358>,,,,,,,,1527979127.5091,,,,563699.5625,385647.78125,729.6300048828125
1527979135.075,,,,,<itemEquip.itemEquip object at 0x00000184B99D3128>,,,,,,,,,1527979135.075,,,,565725.625,385305.15625,729.6199951171875
1527979135.0751,,,,,,<itemPickup.itemPickup object at 0x00000184B9C65DD8>,,,,,,,,1527979135.0751,,,,565725.625,385305.15625,729.6199951171875
1527979135.254,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA51E978>,,,,1527979135.254,,,,565699.9375,385359.40625,729.6199951171875
1527979137.937,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6A9E8>,,,,,,,,1527979137.937,,,,565393.625,385634.1875,891.6099853515625
1527979140.647,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6F080>,,,,,,,,1527979140.647,,,,565728.4375,386189.03125,729.5999755859375
1527979144.04,,,,,,<itemPickup.itemPickup object at 0x00000184B9C787B8>,,,,,,,,1527979144.04,,,,566230.75,385812.28125,750.9199829101562
1527979145.262,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA523D68>,,,,1527979145.262,,,,566492.4375,385854.0625,729.5899658203125
1527979149.797,,,,,,<itemPickup.itemPickup object at 0x00000184B9C802E8>,,,,,,,,1527979149.797,,,,566674.125,385689.1875,864.239990234375
1527979151.79,,,,,<itemEquip.itemEquip object at 0x00000184B99E22B0>,,,,,,,,,1527979151.79,,,,566984.625,385611.84375,790.8299560546875
1527979151.791,,,,,,<itemPickup.itemPickup object at 0x00000184B9C80908>,,,,,,,,1527979151.791,,,,566984.625,385611.84375,790.8299560546875
1527979152.615,,,,,,<itemPickup.itemPickup object at 0x00000184B9C80D68>,,,,,,,,1527979152.615,,,,566984.625,385611.84375,790.8299560546875
1527979152.946,,,,,,<itemPickup.itemPickup object at 0x00000184B9C80EB8>,,,,,,,,1527979152.946,,,,566984.625,385611.84375,790.8299560546875
1527979153.221,,,,,,<itemPickup.itemPickup object at 0x00000184B9C80198>,,,,,,,,1527979153.221,,,,566984.625,385611.84375,790.8299560546875
1527979153.561,,,,,,<itemPickup.itemPickup object at 0x00000184B9C84278>,,,,,,,,1527979153.561,,,,566984.625,385611.84375,790.8299560546875
1527979153.887,,,,,,<itemPickup.itemPickup object at 0x00000184B9C842E8>,,,,,,,,1527979153.887,,,,566984.625,385611.84375,790.8299560546875
1527979154.782,,<itemAttach.itemAttach object at 0x00000184B931F278>,,,,,,,,,,,,1527979154.782,,,,566984.625,385611.84375,790.8299560546875
1527979155.27,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA529128>,,,,1527979155.27,,,,566987.25,385610.03125,791.5399780273438
1527979157.8,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B37C50>,,,,,,,1527979157.8,,,,566797.8125,385176.40625,729.5899658203125
1527979157.801,,,,,<itemEquip.itemEquip object at 0x00000184B99E2BE0>,,,,,,,,,1527979157.801,,,,566797.8125,385176.40625,729.5899658203125
1527979157.8011,,,,,,<itemPickup.itemPickup object at 0x00000184B9C8A6D8>,,,,,,,,1527979157.8011,,,,566797.8125,385176.40625,729.5899658203125
1527979165.262,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5323C8>,,,,1527979165.262,,,,567094.8125,385691.3125,729.6300048828125
1527979166.661,,,,,,<itemPickup.itemPickup object at 0x00000184B9C92F98>,,,,,,,,1527979166.661,,,,567268.0625,385693.75,729.6300048828125
1527979168.837,,,,<itemDrop.itemDrop object at 0x00000184B98BC6A0>,,,,,,,,,,1527979168.837,,,,567256.125,385715.34375,729.6300048828125
1527979168.8370998,,,,,<itemEquip.itemEquip object at 0x00000184B99E6DA0>,,,,,,,,,1527979168.8370998,,,,567256.125,385715.34375,729.6300048828125
1527979168.8372,,,,,,<itemPickup.itemPickup object at 0x00000184B9C98BA8>,,,,,,,,1527979168.8372,,,,567256.125,385715.34375,729.6300048828125
1527979168.8372998,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B3B4A8>,,,,,,,1527979168.8372998,,,,567256.125,385715.34375,729.6300048828125
1527979168.838,,,,,,<itemPickup.itemPickup object at 0x00000184B9C98C18>,,,,,,,,1527979168.838,,,,567256.125,385715.34375,729.6300048828125
1527979169.554,,,,<itemDrop.itemDrop object at 0x00000184B98BC710>,,,,,,,,,,1527979169.554,,,,567197.9375,385752.1875,729.6300048828125
