,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978963.897,,-71.80099987983704,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99048>,,0.0,,,1527978963.897,Foot,,,,561718.0,129456.59375,25676.900390625
1527978973.902,,-61.7960000038147,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DBE550>,,0.0,,,1527978973.902,Foot,,,,561718.0,129456.59375,25676.900390625
1527978983.904,,-51.793999910354614,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DF3A58>,,0.0,,,1527978983.904,Foot,,,,561718.0,129456.59375,25676.900390625
1527978993.911,,-41.78699994087219,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAAC8>,,0.0,,,1527978993.911,Foot,,,,561718.0,129456.59375,25676.900390625
1527979003.952,,-31.746000051498413,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D1D0>,,0.0,,,1527979003.952,Foot,,,,560616.8125,129816.015625,25629.83984375
1527979013.889,,-21.80900001525879,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436630>,,0.0,,,1527979013.889,Foot,,,,560594.625,127819.1875,25758.33984375
1527979023.894,,-11.803999900817871,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BB70>,,0.0,,,1527979023.894,Foot,,,,562250.25,126681.25,25761.19921875
1527979033.901,,-1.7969999313354492,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F1D0>,,0.0,,,1527979033.901,Foot,,,,564889.5625,128335.546875,25678.439453125
1527979035.753,,0.05500006675720215,1,,,,,<itemEquip.itemEquip object at 0x00000160088DB2E8>,,,,,,,0.0,,,1527979035.753,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7531,,0.0550999641418457,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56C18>,,,,,,0.0,,,1527979035.7531,Foot,,,,932243.625,638286.0625,150088.0
