,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978961.409,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477334160>,,0.0,,,1527978961.409,,,,561211.625,128575.09375,25682.37890625
1527978971.426,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477346080>,,0.0,,,1527978971.426,,,,561211.625,128575.09375,25682.37890625
1527978981.435,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737A9E8>,,0.0,,,1527978981.435,,,,561211.625,128575.09375,25682.37890625
1527978991.466,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744CC0>,,0.0,,,1527978991.466,,,,561211.625,128575.09375,25682.37890625
1527979001.412,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0278>,,0.0,,,1527979001.412,,,,561211.625,128575.09375,25682.37890625
1527979011.438,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499828>,,0.0,,,1527979011.438,,,,561211.625,128575.09375,25682.37890625
1527979018.714,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774F26D8>,,,,0.0,,,1527979018.714,,,,560898.125,127195.265625,25826.91015625
1527979021.45,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480D68>,,0.0,,,1527979021.45,,,,560786.375,127342.6328125,25809.76171875
1527979031.442,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F2B0>,,0.0,,,1527979031.442,,,,561357.1875,129256.9765625,26013.08984375
1527979035.836,,,,,,,,,,,,,0.0,,,1527979035.836,,,<vehicleRide.vehicleRide object at 0x000001B47788F780>,932243.625,638286.0625,150088.0
1527979035.837,,,,,,<itemEquip.itemEquip object at 0x000001B476E55E48>,,,,,,,0.0,,,1527979035.837,,,,932243.625,638286.0625,150088.0
1527979035.8370998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D25C0>,,,,,,0.0,,,1527979035.8370998,,,,932243.625,638286.0625,150088.0
1527979041.96,,6.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A780>,,0.0,,,1527979041.96,,,,867121.0,605389.375,150088.0
1527979051.958,,16.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EC50>,,0.0,,,1527979051.958,,,,736107.0625,539207.8125,150088.0
1527979061.953,,26.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773650F0>,,0.0,,,1527979061.953,,,,607436.625,474210.0,150088.0
1527979071.976,,35.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441630>,,0.0,,,1527979071.976,,,,478133.0625,408892.40625,150088.0
1527979075.875,,,,,,,,,,,,,0.0,,,1527979075.875,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBF28>,,427826.6875,383480.15625,150088.0
1527979075.88,,,,,,,,,,,,,0.0,,,1527979075.88,,,<vehicleRide.vehicleRide object at 0x000001B477B6B6A0>,426306.9375,382213.125,150015.78125
1527979081.955,,45.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FB00>,,0.0,,,1527979081.955,,,,416129.875,366765.75,129417.8125
1527979091.957,,55.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928FD0>,,0.0,,,1527979091.957,,,,413921.25,342898.9375,72603.3515625
1527979102.015,,65.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779334E0>,,0.0,,,1527979102.015,,,,414852.6875,339282.53125,17132.248046875
1527979111.857,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0A90>,,,,,0.0,,,1527979111.857,,,,420378.0625,327576.25,1557.869140625
1527979111.8571,,,,,,,,,,,,,0.0,,,1527979111.8571,,<vehicleLeave.vehicleLeave object at 0x000001B477807278>,,420378.0625,327576.25,1557.869140625
1527979112.055,,74.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779369B0>,,0.0,,,1527979112.055,,,,420379.1875,327573.875,1616.689697265625
1527979114.801,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774F5CC0>,,,,0.0,,,1527979114.801,,,,420451.78125,326532.8125,1406.1400146484375
1527979120.338,,,,,,<itemEquip.itemEquip object at 0x000001B476E65278>,,,,,,,0.0,,,1527979120.338,,,,420875.34375,326613.5625,1069.179931640625
1527979120.339,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5B70>,,,,,,0.0,,,1527979120.339,,,,420875.34375,326613.5625,1069.179931640625
1527979120.833,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5E80>,,,,,,0.0,,,1527979120.833,,,,420874.3125,326612.84375,1069.179931640625
1527979121.238,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5048>,,,,,,0.0,,,1527979121.238,,,,420874.1875,326612.75,1069.179931640625
