,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978986.809,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477468A90>,,0.0,,,1527978986.809,,,,795419.5625,19701.599609375,554.739990234375
1527978996.839,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDB38>,,0.0,,,1527978996.839,,,,795419.5625,19701.599609375,554.739990234375
1527979006.825,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0160>,,0.0,,,1527979006.825,,,,795419.5625,19701.599609375,554.739990234375
1527979016.794,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480668>,,0.0,,,1527979016.794,,,,795419.5625,19701.599609375,554.739990234375
1527979026.797,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470BA8>,,0.0,,,1527979026.797,,,,795419.5625,19701.599609375,554.739990234375
1527979035.803,,,,,,<itemEquip.itemEquip object at 0x000001B476E55668>,,,,,,,0.0,,,1527979035.803,,,,932243.625,638286.0625,150088.0
1527979035.8030999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFE10>,,,,,,0.0,,,1527979035.8030999,,,,932243.625,638286.0625,150088.0
1527979035.8032,,,,,,,,,,,,,0.0,,,1527979035.8032,,,<vehicleRide.vehicleRide object at 0x000001B477873198>,932243.625,638286.0625,150088.0
1527979037.347,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F128>,,0.0,,,1527979037.347,,,,927702.6875,635992.25,150087.984375
1527979047.345,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E588>,,0.0,,,1527979047.345,,,,796045.1875,569485.5,150088.0
1527979057.344,,21.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365A58>,,0.0,,,1527979057.344,,,,666888.875,504242.28125,150088.0
1527979064.158,,,,,,,,,,,,,0.0,,,1527979064.158,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB518>,,577885.8125,459282.40625,150088.0
1527979064.164,,,,,,,,,,,,,0.0,,,1527979064.164,,,<vehicleRide.vehicleRide object at 0x000001B477B60C50>,576141.875,459587.1875,150015.78125
1527979067.328,,31.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456F28>,,0.0,,,1527979067.328,,,,568659.0,459622.8125,142917.46875
1527979077.342,,41.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F438>,,0.0,,,1527979077.342,,,,558271.5,469171.375,86881.6015625
1527979087.352,,50.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928908>,,0.0,,,1527979087.352,,,,551829.1875,467676.5625,30452.931640625
1527979097.388,,60.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DDD8>,,0.0,,,1527979097.388,,,,542730.75,456632.6875,10585.28125
