,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978958.38,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EA1C88>,,,,1527978958.38,,,,797144.0,19163.5,528.5299682617188
1527978968.384,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EB4A90>,,,,1527978968.384,,,,797990.3125,21746.5,1241.7999267578125
1527978978.396,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EDE940>,,,,1527978978.396,,,,796284.125,21448.44921875,528.5299682617188
1527978988.418,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA04E128>,,,,1527978988.418,,,,792530.8125,22512.849609375,824.3699951171875
1527978998.397,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7CF8>,,,,1527978998.397,,,,792692.3125,23789.330078125,824.3200073242188
1527979008.398,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D12B0>,,,,1527979008.398,,,,792444.375,23371.458984375,526.3399658203125
1527979018.421,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5828>,,,,1527979018.421,,,,791763.25,21673.08984375,526.3399658203125
1527979028.393,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DAD68>,,,,1527979028.393,,,,792413.5625,18769.73046875,692.8299560546875
1527979035.738,,,,,<itemEquip.itemEquip object at 0x00000184B99B92E8>,,,,,,,,,1527979035.738,,,,932243.625,638286.0625,150088.0
1527979035.7380998,,,,,,<itemPickup.itemPickup object at 0x00000184B9C34CF8>,,,,,,,,1527979035.7380998,,,,932243.625,638286.0625,150088.0
1527979035.7382,,,,,,,,,,,,,,1527979035.7382,,,<vehicleRide.vehicleRide object at 0x00000184BA801EB8>,932243.625,638286.0625,150088.0
1527979038.929,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5278>,,,,1527979038.929,,,,901427.75,622719.375,150087.984375
1527979048.916,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5B748>,,,,1527979048.916,,,,776566.9375,559646.0,150088.0
1527979058.914,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4EDC18>,,,,1527979058.914,,,,646983.125,494186.875,150088.0
1527979068.9,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F20B8>,,,,1527979068.9,,,,517564.0,428810.875,150088.0
1527979078.953,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FB5F8>,,,,1527979078.953,,,,388147.40625,363436.1875,150088.0
1527979088.925,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA500AC8>,,,,1527979088.925,,,,260651.09375,299031.5,150088.0
1527979090.692,,,,,,,,,,,,,,1527979090.692,,<vehicleLeave.vehicleLeave object at 0x00000184BA7C8B00>,,236890.015625,287028.59375,150088.0
1527979090.695,,,,,,,,,,,,,,1527979090.695,,,<vehicleRide.vehicleRide object at 0x00000184BA753208>,237904.734375,287745.125,150015.78125
1527979098.987,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA506F98>,,,,1527979098.987,,,,229321.71875,284450.1875,110889.5703125
1527979109.045,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50F4A8>,,,,1527979109.045,,,,215148.59375,283413.40625,58037.63671875
1527979118.931,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514978>,,,,1527979118.931,,,,212930.0,284535.90625,14787.2841796875
1527979128.86,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B2B518>,,,,,,,1527979128.86,,,,200509.46875,285658.03125,1292.675537109375
1527979128.861,,,,,,,,,,,,,,1527979128.861,,<vehicleLeave.vehicleLeave object at 0x00000184BA86D1D0>,,200509.46875,285658.03125,1292.675537109375
1527979128.96,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519E48>,,,,1527979128.96,,,,200509.46875,285658.03125,1354.6756591796875
1527979139.004,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5232E8>,,,,1527979139.004,,,,198777.78125,287958.4375,1140.93994140625
1527979143.237,,,,,<itemEquip.itemEquip object at 0x00000184B99DD4E0>,,,,,,,,,1527979143.237,,,,199913.8125,286563.84375,1256.3800048828125
1527979143.2371,,,,,,<itemPickup.itemPickup object at 0x00000184B9C78438>,,,,,,,,1527979143.2371,,,,199913.8125,286563.84375,1256.3800048828125
