,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978976.404,,-59.293999910354614,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCFEF0>,,0.0,,,1527978976.404,Foot,,,,794005.8125,19389.330078125,621.0799560546875
1527978986.414,,-49.28399991989136,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008E0C438>,,0.0,,,1527978986.414,Foot,,,,790531.4375,15267.75,747.8499755859375
1527978996.393,,-39.3050000667572,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D400>,,0.0,,,1527978996.393,Foot,,,,788138.0625,10235.3193359375,526.8800048828125
1527979006.399,,-29.299000024795532,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430978>,,0.0,,,1527979006.399,Foot,,,,790031.6875,6571.9296875,565.3499755859375
1527979016.419,,-19.27900004386902,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436EF0>,,0.0,,,1527979016.419,Foot,,,,791194.375,7909.599609375,499.1099853515625
1527979026.406,,-9.29200005531311,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F470>,,0.0,,,1527979026.406,Foot,,,,794657.6875,11649.2099609375,563.0700073242188
1527979035.778,,0.08000016212463379,1,,,,,<itemEquip.itemEquip object at 0x00000160088DB0B8>,,,,,,,0.0,,,1527979035.778,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7781,,0.08010005950927734,1,,,,,,,,,,,,0.0,,,1527979035.7781,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x000001600925C390>,932243.625,638286.0625,150088.0
1527979035.779,,0.08100008964538574,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B59278>,,,,,,0.0,,,1527979035.779,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979036.924,,1.2260000705718994,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444940>,,0.0,,,1527979036.924,DummyTransportAircraft_C,,,,931275.1875,637796.875,150088.0
1527979046.943,,11.245000123977661,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944AE10>,,0.0,,,1527979046.943,DummyTransportAircraft_C,,,,800891.375,571933.5625,150088.0
1527979054.035,,18.337000131607056,1,,,,,,,,,,,,0.0,,,1527979054.035,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D860B8>,,707529.125,524771.6875,150088.0
1527979054.042,,18.344000101089478,1,,,,,,,,,,,,0.0,,,1527979054.042,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x0000016009276A90>,707164.75,525028.0,150015.78125
1527979056.944,,21.246000051498413,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452320>,,0.0,,,1527979056.944,ParachutePlayer_C,,,,702542.0,517177.59375,142071.40625
1527979066.959,,31.261000156402588,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094597F0>,,0.0,,,1527979066.959,ParachutePlayer_C,,,,707022.4375,489651.90625,100540.671875
1527979076.932,,41.23399996757507,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945DCC0>,,0.0,,,1527979076.932,ParachutePlayer_C,,,,716110.6875,465890.65625,57341.9453125
1527979086.989,,51.29100012779236,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461080>,,0.0,,,1527979086.989,ParachutePlayer_C,,,,722686.3125,449660.8125,21746.556640625
1527979096.964,,61.26600003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B6A0>,,0.0,,,1527979096.964,ParachutePlayer_C,,,,728129.5,436274.5,4660.6416015625
1527979098.218,,62.519999980926514,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A31BA8>,,,,,0.0,,,1527979098.218,ParachutePlayer_C,,,,728728.375,436286.15625,3721.109130859375
1527979098.219,,62.521000146865845,0,,,,,,,,,,,,0.0,,,1527979098.219,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8F98>,,728728.375,436286.15625,3721.109130859375
1527979100.874,,65.17600011825562,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7518>,,,,,,,0.0,,,1527979100.874,Foot,,,,729137.75,436275.34375,3532.8798828125
1527979100.8741,,65.17610001564026,0,Item_Back_E_02_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5EEB8>,,,,,,0.0,,,1527979100.8741,Foot,,,,729137.75,436275.34375,3532.8798828125
1527979101.627,,65.92900013923645,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7668>,,,,,,,0.0,,,1527979101.627,Foot,,,,729126.25,436262.875,3532.8798828125
1527979101.6271,,65.9291000366211,0,Item_Weapon_SmokeBomb_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E0F0>,,,,,,0.0,,,1527979101.6271,Foot,,,,729126.25,436262.875,3532.8798828125
1527979102.264,,66.56599998474121,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62208>,,,,,,0.0,,,1527979102.264,Foot,,,,729126.25,436262.875,3532.8798828125
1527979106.948,,71.25,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470B70>,,0.0,,,1527979106.948,Foot,,,,728964.125,438253.46875,3532.8798828125
1527979107.466,,71.76800012588501,0,Item_Attach_Weapon_Upper_Holosight_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62C88>,,,,,,0.0,,,1527979107.466,Foot,,,,728901.8125,438319.625,3532.8798828125
1527979111.144,,75.44600009918213,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B66438>,,,,,,0.0,,,1527979111.144,Foot,,,,730230.625,438301.1875,3532.8798828125
1527979116.988,,81.28999996185303,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094731D0>,,0.0,,,1527979116.988,Foot,,,,730642.5625,436209.84375,3532.8798828125
1527979117.56,,81.86199998855591,0,Item_Attach_Weapon_Upper_Aimpoint_C,,,,,<itemPickup.itemPickup object at 0x0000016008B6C4A8>,,,,,,0.0,,,1527979117.56,Foot,,,,730642.5625,436209.84375,3532.8798828125
1527979118.078,,82.38000011444092,0,Item_Attach_Weapon_Magazine_Extended_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008B6C828>,,,,,,0.0,,,1527979118.078,Foot,,,,730642.5625,436209.84375,3532.8798828125
