,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978973.448,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359C88>,,0.0,,,1527978973.448,,,,560873.3125,128783.09375,25676.900390625
1527978983.46,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477384630>,,0.0,,,1527978983.46,,,,560873.3125,128783.09375,25676.900390625
1527978993.451,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744AC8>,,0.0,,,1527978993.451,,,,560873.3125,128783.09375,25676.900390625
1527979003.472,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B05C0>,,0.0,,,1527979003.472,,,,560873.3125,128783.09375,25676.900390625
1527979013.432,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499B70>,,0.0,,,1527979013.432,,,,561560.875,128538.65625,25676.87890625
1527979023.44,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480160>,,0.0,,,1527979023.44,,,,562828.875,126309.4765625,25678.439453125
1527979033.436,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F5C0>,,0.0,,,1527979033.436,,,,562764.8125,126365.6640625,25732.119140625
1527979035.853,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A2B0>,,,,,,,0.0,,,1527979035.853,,,,932243.625,638286.0625,150088.0
1527979035.8530998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2940>,,,,,,0.0,,,1527979035.8530998,,,,932243.625,638286.0625,150088.0
1527979035.8532,,,,,,,,,,,,,0.0,,,1527979035.8532,,,<vehicleRide.vehicleRide object at 0x000001B47788FB00>,932243.625,638286.0625,150088.0
1527979043.967,,8.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AA90>,,0.0,,,1527979043.967,,,,838489.875,590926.4375,150088.0
