,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978984.208,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773925C0>,,0.0,,,1527978984.208,,,,796223.4375,17817.599609375,528.5
1527978994.213,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD208>,,0.0,,,1527978994.213,,,,796223.4375,17817.599609375,528.5
1527979004.204,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0780>,,0.0,,,1527979004.204,,,,796223.4375,17817.599609375,528.5
1527979014.202,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499CF8>,,0.0,,,1527979014.202,,,,796223.4375,17817.599609375,528.5
1527979024.198,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470278>,,0.0,,,1527979024.198,,,,796223.4375,17817.599609375,528.5
1527979034.203,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F748>,,0.0,,,1527979034.203,,,,796223.4375,17817.599609375,528.5
1527979035.792,,,,,,<itemEquip.itemEquip object at 0x000001B476E55390>,,,,,,,0.0,,,1527979035.792,,,,932243.625,638286.0625,150088.0
1527979035.7921,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFB70>,,,,,,0.0,,,1527979035.7921,,,,932243.625,638286.0625,150088.0
1527979035.7922,,,,,,,,,,,,,0.0,,,1527979035.7922,,,<vehicleRide.vehicleRide object at 0x000001B477873D30>,932243.625,638286.0625,150088.0
1527979044.733,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AC18>,,0.0,,,1527979044.733,,,,826436.9375,584837.875,150088.0
1527979054.724,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E128>,,0.0,,,1527979054.724,,,,699165.25,520546.625,150088.0
1527979059.684,,,,,,,,,,,,,0.0,,,1527979059.684,,<vehicleLeave.vehicleLeave object at 0x000001B476F90E48>,,637279.5625,489285.125,150088.0
1527979059.689,,,,,,,,,,,,,0.0,,,1527979059.689,,,<vehicleRide.vehicleRide object at 0x000001B477B605C0>,636233.125,490339.0,150015.78125
1527979064.763,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774565F8>,,0.0,,,1527979064.763,,,,632178.375,475186.46875,134652.125
1527979074.774,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441AC8>,,0.0,,,1527979074.774,,,,641849.6875,441610.40625,99594.6484375
1527979084.749,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FF98>,,0.0,,,1527979084.749,,,,655069.1875,409444.34375,64688.62890625
1527979094.762,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D4A8>,,0.0,,,1527979094.762,,,,673796.0625,380565.71875,30011.140625
1527979104.788,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933978>,,0.0,,,1527979104.788,,,,683961.0,367010.4375,16712.45703125
1527979114.83,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936E48>,,0.0,,,1527979114.83,,,,694800.0,351186.0625,3986.354248046875
1527979120.474,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB94A8>,,,,,0.0,,,1527979120.474,,,,697656.375,347035.59375,803.1744995117188
1527979120.4740999,,,,,,,,,,,,,0.0,,,1527979120.4740999,,<vehicleLeave.vehicleLeave object at 0x000001B477807D68>,,697656.375,347035.59375,803.1744995117188
1527979124.777,,86.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941358>,,0.0,,,1527979124.777,,,,698383.125,346017.5,244.9099884033203
1527979126.421,,,,,,<itemEquip.itemEquip object at 0x000001B476E65128>,,,,,,,0.0,,,1527979126.421,,,,698794.125,345633.71875,244.9099884033203
1527979126.422,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EEE80>,,,,,,0.0,,,1527979126.422,,,,698794.125,345633.71875,244.9099884033203
1527979126.834,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE128>,,,,,,0.0,,,1527979126.834,,,,698794.125,345633.71875,244.9099884033203
1527979127.303,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1390>,,,,,,0.0,,,1527979127.303,,,,698794.125,345633.71875,244.9099884033203
1527979127.971,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1780>,,,,,,0.0,,,1527979127.971,,,,698794.125,345633.71875,244.9099884033203
1527979134.862,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946828>,,0.0,,,1527979134.862,,,,698217.5625,348207.15625,524.3099975585938
1527979144.801,,105.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794CC50>,,0.0,,,1527979144.801,,,,697466.6875,349718.84375,622.0899658203125
1527979154.743,,115.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951FD0>,,0.0,,,1527979154.743,,,,697694.625,353471.875,829.22998046875
1527979164.788,,125.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A2B0>,,0.0,,,1527979164.788,,,,696685.4375,352529.4375,572.260009765625
1527979174.792,,134.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779604E0>,,0.0,,,1527979174.792,,,,697644.6875,347527.15625,370.6199951171875
1527979184.745,,144.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779656A0>,,0.0,,,1527979184.745,,,,698387.4375,344805.21875,244.9099884033203
1527979185.84,,,,,,,<itemPickup.itemPickup object at 0x000001B477140080>,,,,,,0.0,,,1527979185.84,,,,698511.125,344765.3125,244.9099884033203
1527979190.968,,,,,,<itemEquip.itemEquip object at 0x000001B476E86978>,,,,,,,0.0,,,1527979190.968,,,,697900.25,344057.90625,244.9099884033203
1527979190.9680998,,,,,,,<itemPickup.itemPickup object at 0x000001B47714A7F0>,,,,,,0.0,,,1527979190.9680998,,,,697900.25,344057.90625,244.9099884033203
1527979194.595,,,,,,<itemEquip.itemEquip object at 0x000001B476E86E48>,,,,,,,0.0,,,1527979194.595,,,,697770.375,343313.46875,244.9099884033203
1527979194.5951,,,,,,,<itemPickup.itemPickup object at 0x000001B47714FD30>,,,,,,0.0,,,1527979194.5951,,,,697770.375,343313.46875,244.9099884033203
1527979194.745,,154.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779697F0>,,0.0,,,1527979194.745,,,,697770.375,343313.46875,244.9099884033203
1527979195.132,,,,,,,<itemPickup.itemPickup object at 0x000001B47714FF60>,,,,,,0.0,,,1527979195.132,,,,697770.375,343313.46875,244.9099884033203
1527979195.626,,,,,,,<itemPickup.itemPickup object at 0x000001B4771521D0>,,,,,,0.0,,,1527979195.626,,,,697770.375,343313.46875,244.9099884033203
1527979204.776,,164.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47796E898>,,0.0,,,1527979204.776,,,,698017.375,343005.21875,244.9099884033203
1527979214.755,,173.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477973908>,,0.0,,,1527979214.755,,,,698371.6875,342041.34375,242.05999755859375
1527979223.093,,,,,,,<itemPickup.itemPickup object at 0x000001B4771715C0>,,,,,,0.0,,,1527979223.093,,,,701409.6875,340324.46875,244.88999938964844
1527979224.74,,183.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779798D0>,,0.0,,,1527979224.74,,,,701715.875,340317.5,244.88999938964844
1527979228.187,,,<itemAttach.itemAttach object at 0x000001B476BC2CF8>,,,,,,,,,,0.0,,,1527979228.187,,,,702360.375,340127.34375,244.88999938964844
1527979228.1871,,,,,,,<itemPickup.itemPickup object at 0x000001B477176860>,,,,,,0.0,,,1527979228.1871,,,,702360.375,340127.34375,244.88999938964844
1527979233.313,,,,,,<itemEquip.itemEquip object at 0x000001B476E92AC8>,,,,,,,0.0,,,1527979233.313,,,,702266.6875,341186.71875,244.9199981689453
1527979233.3130999,,,,,,,<itemPickup.itemPickup object at 0x000001B47717CE80>,,,,,,0.0,,,1527979233.3130999,,,,702266.6875,341186.71875,244.9199981689453
1527979233.848,,,,,,,<itemPickup.itemPickup object at 0x000001B4771802B0>,,,,,,0.0,,,1527979233.848,,,,702266.6875,341186.71875,244.9199981689453
1527979234.807,,193.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797C828>,,0.0,,,1527979234.807,,,,702180.25,341211.59375,244.9199981689453
