,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.621,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732F828>,,0.0,,,1527978955.621,,,,561819.4375,128088.9609375,25676.875
1527978965.637,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A320>,,0.0,,,1527978965.637,,,,561819.5,128089.0,25676.87890625
1527978975.698,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477364C18>,,0.0,,,1527978975.698,,,,561819.5,128089.0,25676.87890625
1527978985.63,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47744A080>,,0.0,,,1527978985.63,,,,561819.5,128089.0,25676.87890625
1527978995.647,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD860>,,0.0,,,1527978995.647,,,,561819.5,128089.0,25676.87890625
1527979005.668,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0DD8>,,0.0,,,1527979005.668,,,,561819.5,128089.0,25676.87890625
1527979015.628,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480390>,,0.0,,,1527979015.628,,,,561819.5,128089.0,25676.87890625
1527979025.65,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774708D0>,,0.0,,,1527979025.65,,,,561819.5,128089.0,25676.87890625
1527979035.642,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FDA0>,,0.0,,,1527979035.642,,,,561819.5,128089.0,25676.87890625
1527979035.821,,,,,,,,,,,,,0.0,,,1527979035.821,,,<vehicleRide.vehicleRide object at 0x000001B47788F400>,932243.625,638286.0625,150088.0
1527979035.822,,,,,,<itemEquip.itemEquip object at 0x000001B476E55A90>,,,,,,,0.0,,,1527979035.822,,,,932243.625,638286.0625,150088.0
1527979035.8221,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2240>,,,,,,0.0,,,1527979035.8221,,,,932243.625,638286.0625,150088.0
1527979046.175,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E2B0>,,0.0,,,1527979046.175,,,,809924.0,576496.375,150088.0
1527979056.176,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365780>,,0.0,,,1527979056.176,,,,681428.6875,511587.09375,150088.0
1527979061.768,,,,,,,,,,,,,0.0,,,1527979061.768,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB208>,,609815.375,475411.6875,150088.0
1527979061.774,,,,,,,,,,,,,0.0,,,1527979061.774,,,<vehicleRide.vehicleRide object at 0x000001B477B60940>,609737.3125,475001.78125,150015.78125
1527979066.176,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456C50>,,0.0,,,1527979066.176,,,,603317.25,464267.8125,136645.90625
1527979076.178,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774410F0>,,0.0,,,1527979076.178,,,,608713.125,429870.71875,101650.0703125
1527979086.218,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928630>,,0.0,,,1527979086.218,,,,618251.5,396316.78125,66525.7734375
1527979096.192,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DB00>,,0.0,,,1527979096.192,,,,623467.5625,379661.25,19470.482421875
1527979106.247,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933FD0>,,0.0,,,1527979106.247,,,,628379.0,375575.9375,4413.546875
1527979109.881,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB06D8>,,,,,0.0,,,1527979109.881,,,,627271.875,374750.0,2847.505615234375
1527979109.8811,,,,,,,,,,,,,0.0,,,1527979109.8811,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6048>,,627271.875,374750.0,2847.505615234375
1527979116.205,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C4E0>,,0.0,,,1527979116.205,,,,630386.75,374522.90625,2469.349853515625
1527979116.872,,,,,,<itemEquip.itemEquip object at 0x000001B476E60A58>,,,,,,,0.0,,,1527979116.872,,,,630599.1875,374510.28125,2469.349853515625
1527979116.873,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF630>,,,,,,0.0,,,1527979116.873,,,,630599.1875,374510.28125,2469.349853515625
1527979117.199,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF7F0>,,,,,,0.0,,,1527979117.199,,,,630599.1875,374510.28125,2469.349853515625
1527979117.713,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DFB00>,,,,,,0.0,,,1527979117.713,,,,630599.1875,374510.28125,2469.349853515625
1527979117.871,,,,,,<itemEquip.itemEquip object at 0x000001B476E60C88>,,,,,,,0.0,,,1527979117.871,,,,630599.1875,374510.28125,2469.349853515625
1527979117.8711,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DFBE0>,,,,,,0.0,,,1527979117.8711,,,,630599.1875,374510.28125,2469.349853515625
